罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係,name,latitude,longitude,police_office_name,police_office_latitude,police_office_longitude
窃盗,自転車盗,中央,日本橋交番,131024,東京都,中央区,日本橋堀留町１丁目,2022/8/21,18,道路上,その他,50歳代,その他,施錠せず,中央区日本橋堀留町１丁目,35.687931,139.779894, 中央警察署 日本橋交番,35.68364415,139.77479895218778
窃盗,自転車盗,中央,日本橋交番,131024,東京都,中央区,日本橋堀留町１丁目,2022/9/30,16,その他,その他,20歳代,その他,施錠した,中央区日本橋堀留町１丁目,35.687931,139.779894, 中央警察署 日本橋交番,35.68364415,139.77479895218778
窃盗,自転車盗,中央,日本橋交番,131024,東京都,中央区,日本橋本石町４丁目,2022/4/9,14,道路上,その他,40歳代,その他,施錠した,中央区日本橋本石町４丁目,35.688585,139.770806, 中央警察署 日本橋交番,35.68364415,139.77479895218778
窃盗,自転車盗,中央,日本橋交番,131024,東京都,中央区,日本橋本町１丁目,2022/7/28,15,道路上,その他,10歳代,大学生,施錠した,中央区日本橋本町１丁目,35.685747,139.776872, 中央警察署 日本橋交番,35.68364415,139.77479895218778
窃盗,自転車盗,中央,日本橋交番,131024,東京都,中央区,日本橋室町１丁目,2022/2/17,22,道路上,その他,30歳代,その他,施錠せず,中央区日本橋室町１丁目,35.685403,139.774413, 中央警察署 日本橋交番,35.68364415,139.77479895218778
窃盗,自転車盗,中央,日本橋交番,131024,東京都,中央区,日本橋室町１丁目,2022/4/25,18,道路上,その他,50歳代,その他,施錠せず,中央区日本橋室町１丁目,35.685403,139.774413, 中央警察署 日本橋交番,35.68364415,139.77479895218778
窃盗,自転車盗,中央,日本橋交番,131024,東京都,中央区,日本橋室町２丁目,2022/6/9,22,道路上,その他,40歳代,その他,施錠せず,中央区日本橋室町２丁目,35.686841,139.773767, 中央警察署 日本橋交番,35.68364415,139.77479895218778
窃盗,自転車盗,中央,日本橋交番,131024,東京都,中央区,日本橋室町２丁目,2022/8/14,16,道路上,その他,10歳代,小学生,施錠せず,中央区日本橋室町２丁目,35.686841,139.773767, 中央警察署 日本橋交番,35.68364415,139.77479895218778
窃盗,自転車盗,中央,日本橋交番,131024,東京都,中央区,日本橋室町３丁目,2021/12/29,10,道路上,その他,50歳代,その他,施錠した,中央区日本橋室町３丁目,35.687974,139.772824, 中央警察署 日本橋交番,35.68364415,139.77479895218778
窃盗,自転車盗,中央,日本橋交番,131024,東京都,中央区,八重洲１丁目,2022/1/12,2,道路上,その他,50歳代,その他,施錠せず,中央区八重洲１丁目,35.682265,139.770922, 中央警察署 日本橋交番,35.68364415,139.77479895218778
窃盗,自転車盗,中央,本町交番,131024,東京都,中央区,日本橋大伝馬町,2022/8/29,5,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず,中央区日本橋大伝馬町,35.6901659,139.7796763, 中央警察署 本町交番,35.690625,139.774905
窃盗,自転車盗,中央,本町交番,131024,東京都,中央区,日本橋大伝馬町,2022/11/22,9,道路上,その他,20歳代,その他,施錠した,中央区日本橋大伝馬町,35.6901659,139.7796763, 中央警察署 本町交番,35.690625,139.774905
窃盗,自転車盗,中央,本町交番,131024,東京都,中央区,日本橋小伝馬町,2022/1/29,1,道路上,その他,65-69歳,その他,施錠した,中央区日本橋小伝馬町,35.691464,139.778699, 中央警察署 本町交番,35.690625,139.774905
窃盗,自転車盗,中央,本町交番,131024,東京都,中央区,日本橋小伝馬町,2022/3/11,10,道路上,その他,30歳代,その他,施錠した,中央区日本橋小伝馬町,35.691464,139.778699, 中央警察署 本町交番,35.690625,139.774905
窃盗,自転車盗,中央,本町交番,131024,東京都,中央区,日本橋堀留町１丁目,2021/12/11,18,道路上,その他,30歳代,その他,施錠せず,中央区日本橋堀留町１丁目,35.687931,139.779894, 中央警察署 本町交番,35.690625,139.774905
窃盗,自転車盗,中央,本町交番,131024,東京都,中央区,日本橋本町１丁目,2022/8/29,12,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した,中央区日本橋本町１丁目,35.685747,139.776872, 中央警察署 本町交番,35.690625,139.774905
窃盗,自転車盗,中央,本町交番,131024,東京都,中央区,日本橋本町３丁目,2022/3/27,11,道路上,その他,20歳代,その他,施錠した,中央区日本橋本町３丁目,35.688895,139.77566, 中央警察署 本町交番,35.690625,139.774905
窃盗,自転車盗,中央,本町交番,131024,東京都,中央区,日本橋本町３丁目,2022/8/28,7,４階建て以上共同住宅,その他,法人・団体、被害者なし,法人・団体、被害者なし,施錠した,中央区日本橋本町３丁目,35.688895,139.77566, 中央警察署 本町交番,35.690625,139.774905
窃盗,自転車盗,中央,本町交番,131024,東京都,中央区,日本橋本町４丁目,2022/3/27,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠せず,中央区日本橋本町４丁目,35.690183,139.775106, 中央警察署 本町交番,35.690625,139.774905
窃盗,自転車盗,中央,本町交番,131024,東京都,中央区,日本橋室町４丁目,2022/7/30,16,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,その他,施錠した,中央区日本橋室町４丁目,35.689122,139.77239, 中央警察署 本町交番,35.690625,139.774905
窃盗,自転車盗,中央,本町交番,131024,東京都,中央区,日本橋室町４丁目,2022/8/21,11,道路上,その他,60-64歳,その他,施錠せず,中央区日本橋室町４丁目,35.689122,139.77239, 中央警察署 本町交番,35.690625,139.774905
窃盗,自転車盗,中央,茅場町交番,131024,東京都,中央区,日本橋兜町,2022/6/30,16,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠した,中央区日本橋兜町,35.681076,139.777678, 中央警察署 茅場町交番,35.6795333,139.7773199
窃盗,自転車盗,中央,茅場町交番,131024,東京都,中央区,日本橋兜町,2022/10/27,17,道路上,その他,法人・団体、被害者なし,法人・団体、被害者なし,施錠せず,中央区日本橋兜町,35.681076,139.777678, 中央警察署 茅場町交番,35.6795333,139.7773199
窃盗,自転車盗,中央,茅場町交番,131024,東京都,中央区,日本橋茅場町１丁目,2021/12/25,23,道路上,その他,40歳代,その他,施錠した,中央区日本橋茅場町１丁目,35.68074,139.779843, 中央警察署 茅場町交番,35.6795333,139.7773199
窃盗,自転車盗,中央,茅場町交番,131024,東京都,中央区,日本橋茅場町２丁目,2022/1/27,15,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠した,中央区日本橋茅場町２丁目,35.679003,139.779308, 中央警察署 茅場町交番,35.6795333,139.7773199
窃盗,自転車盗,中央,茅場町交番,131024,東京都,中央区,日本橋茅場町２丁目,2022/2/15,7,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した,中央区日本橋茅場町２丁目,35.679003,139.779308, 中央警察署 茅場町交番,35.6795333,139.7773199
窃盗,自転車盗,中央,茅場町交番,131024,東京都,中央区,日本橋茅場町２丁目,2022/4/6,8,道路上,その他,50歳代,その他,施錠せず,中央区日本橋茅場町２丁目,35.679003,139.779308, 中央警察署 茅場町交番,35.6795333,139.7773199
窃盗,自転車盗,中央,茅場町交番,131024,東京都,中央区,日本橋茅場町２丁目,2022/8/6,17,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した,中央区日本橋茅場町２丁目,35.679003,139.779308, 中央警察署 茅場町交番,35.6795333,139.7773199
窃盗,自転車盗,中央,高橋交番,131024,東京都,中央区,新川１丁目,2021/12/7,13,４階建て以上共同住宅,その他,30歳代,その他,施錠せず,中央区新川１丁目,35.676561,139.784686, 中央警察署 高橋交番,35.6745846,139.7806749
窃盗,自転車盗,中央,高橋交番,131024,東京都,中央区,新川１丁目,2022/2/3,0,４階建て以上共同住宅,その他,30歳代,その他,施錠せず,中央区新川１丁目,35.676561,139.784686, 中央警察署 高橋交番,35.6745846,139.7806749
窃盗,自転車盗,中央,高橋交番,131024,東京都,中央区,新川１丁目,2022/4/23,0,道路上,その他,法人・団体、被害者なし,法人・団体、被害者なし,施錠した,中央区新川１丁目,35.676561,139.784686, 中央警察署 高橋交番,35.6745846,139.7806749
窃盗,自転車盗,中央,高橋交番,131024,東京都,中央区,新川１丁目,2022/5/13,20,道路上,その他,20歳代,その他,施錠した,中央区新川１丁目,35.676561,139.784686, 中央警察署 高橋交番,35.6745846,139.7806749
窃盗,自転車盗,中央,高橋交番,131024,東京都,中央区,新川１丁目,2022/5/23,6,道路上,その他,30歳代,その他,施錠せず,中央区新川１丁目,35.676561,139.784686, 中央警察署 高橋交番,35.6745846,139.7806749
窃盗,自転車盗,中央,高橋交番,131024,東京都,中央区,新川１丁目,2022/5/31,17,道路上,その他,30歳代,その他,施錠した,中央区新川１丁目,35.676561,139.784686, 中央警察署 高橋交番,35.6745846,139.7806749
窃盗,自転車盗,中央,高橋交番,131024,東京都,中央区,新川１丁目,2022/8/5,11,４階建て以上共同住宅,その他,70歳以上,その他,施錠した,中央区新川１丁目,35.676561,139.784686, 中央警察署 高橋交番,35.6745846,139.7806749
窃盗,自転車盗,中央,高橋交番,131024,東京都,中央区,新川１丁目,2022/8/20,13,道路上,その他,30歳代,その他,施錠した,中央区新川１丁目,35.676561,139.784686, 中央警察署 高橋交番,35.6745846,139.7806749
窃盗,自転車盗,中央,高橋交番,131024,東京都,中央区,新川１丁目,2022/8/29,13,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した,中央区新川１丁目,35.676561,139.784686, 中央警察署 高橋交番,35.6745846,139.7806749
窃盗,自転車盗,中央,高橋交番,131024,東京都,中央区,新川１丁目,2022/9/9,10,４階建て以上共同住宅,駐車（輪）場,65-69歳,その他,施錠せず,中央区新川１丁目,35.676561,139.784686, 中央警察署 高橋交番,35.6745846,139.7806749
窃盗,自転車盗,中央,高橋交番,131024,東京都,中央区,新川２丁目,2021/12/30,9,道路上,その他,法人・団体、被害者なし,法人・団体、被害者なし,施錠せず,中央区新川２丁目,35.674363,139.782664, 中央警察署 高橋交番,35.6745846,139.7806749
窃盗,自転車盗,中央,高橋交番,131024,東京都,中央区,新川２丁目,2022/4/23,0,道路上,その他,30歳代,その他,施錠せず,中央区新川２丁目,35.674363,139.782664, 中央警察署 高橋交番,35.6745846,139.7806749
窃盗,自転車盗,中央,高橋交番,131024,東京都,中央区,新川２丁目,2022/4/24,10,道路上,その他,30歳代,その他,施錠せず,中央区新川２丁目,35.674363,139.782664, 中央警察署 高橋交番,35.6745846,139.7806749
窃盗,自転車盗,中央,高橋交番,131024,東京都,中央区,新川２丁目,2022/7/31,19,道路上,その他,法人・団体、被害者なし,法人・団体、被害者なし,施錠せず,中央区新川２丁目,35.674363,139.782664, 中央警察署 高橋交番,35.6745846,139.7806749
窃盗,自転車盗,中央,高橋交番,131024,東京都,中央区,新川２丁目,2022/9/1,2,道路上,その他,20歳代,その他,施錠せず,中央区新川２丁目,35.674363,139.782664, 中央警察署 高橋交番,35.6745846,139.7806749
窃盗,自転車盗,中央,高橋交番,131024,東京都,中央区,新川２丁目,2022/10/23,23,４階建て以上共同住宅,その他,40歳代,その他,施錠せず,中央区新川２丁目,35.674363,139.782664, 中央警察署 高橋交番,35.6745846,139.7806749
窃盗,自転車盗,中央,高橋交番,131024,東京都,中央区,新川２丁目,2022/11/12,16,道路上,その他,40歳代,その他,施錠せず,中央区新川２丁目,35.674363,139.782664, 中央警察署 高橋交番,35.6745846,139.7806749
窃盗,自転車盗,中央,高橋交番,131024,東京都,中央区,新川２丁目,2022/11/21,18,道路上,その他,40歳代,その他,施錠せず,中央区新川２丁目,35.674363,139.782664, 中央警察署 高橋交番,35.6745846,139.7806749
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,海辺,2022/8/30,0,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず,江東区海辺,35.681075,139.818882, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,越中島３丁目,2022/9/28,19,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠せず,江東区越中島３丁目,35.664328,139.798384, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,猿江１丁目,2021/11/24,18,その他,駐車（輪）場,50歳代,その他,施錠せず,江東区猿江１丁目,35.685939,139.811695, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,猿江１丁目,2022/1/15,12,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した,江東区猿江１丁目,35.685939,139.811695, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,猿江２丁目,2021/12/1,12,道路上,その他,20歳代,その他,施錠した,江東区猿江２丁目,35.686117,139.817189, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,猿江２丁目,2021/12/23,8,道路上,その他,10歳代,高校生,施錠した,江東区猿江２丁目,35.686117,139.817189, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,猿江２丁目,2022/1/13,11,道路上,その他,70歳以上,その他,施錠せず,江東区猿江２丁目,35.686117,139.817189, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,猿江２丁目,2022/10/4,8,道路上,その他,10歳代,高校生,施錠せず,江東区猿江２丁目,35.686117,139.817189, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,住吉１丁目,2021/10/18,20,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠せず,江東区住吉１丁目,35.688767,139.812698, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,住吉１丁目,2022/1/12,15,その他,駐車（輪）場,20歳代,その他,施錠した,江東区住吉１丁目,35.688767,139.812698, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,住吉１丁目,2022/6/18,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠せず,江東区住吉１丁目,35.688767,139.812698, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,住吉１丁目,2022/9/15,18,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠した,江東区住吉１丁目,35.688767,139.812698, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,住吉２丁目,2021/11/14,20,その他,その他,40歳代,その他,施錠した,江東区住吉２丁目,35.6884101,139.8163723, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,住吉２丁目,2022/7/30,15,道路上,その他,70歳以上,その他,施錠せず,江東区住吉２丁目,35.6884101,139.8163723, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,住吉２丁目,2022/8/7,10,その他,駐車（輪）場,10歳代,高校生,施錠した,江東区住吉２丁目,35.6884101,139.8163723, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,住吉２丁目,2022/8/16,11,道路上,その他,50歳代,その他,施錠せず,江東区住吉２丁目,35.6884101,139.8163723, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,毛利１丁目,2022/7/28,19,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した,江東区毛利１丁目,35.691507,139.813446, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,毛利２丁目,2022/5/3,15,道路上,その他,50歳代,その他,施錠せず,江東区毛利２丁目,35.690896,139.817713, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,毛利２丁目,2022/6/12,18,その他,その他,30歳代,その他,施錠した,江東区毛利２丁目,35.690896,139.817713, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,住吉交番,131083,東京都,江東区,森下４丁目,2022/3/27,8,その他,駐車（輪）場,20歳代,その他,施錠せず,江東区森下４丁目,35.686267,139.804854, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,自転車盗,深川,千田交番,131083,東京都,江東区,海辺,2022/4/27,23,一戸建住宅,駐車（輪）場,20歳代,大学生,施錠せず,江東区海辺,35.681075,139.818882, 深川警察署 千田交番,35.6806,139.815818
窃盗,自転車盗,深川,千田交番,131083,東京都,江東区,扇橋１丁目,2022/1/9,17,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず,江東区扇橋１丁目,35.683189,139.811869, 深川警察署 千田交番,35.6806,139.815818
窃盗,自転車盗,深川,千田交番,131083,東京都,江東区,扇橋１丁目,2022/1/29,19,一戸建住宅,駐車（輪）場,10歳代,高校生,施錠した,江東区扇橋１丁目,35.683189,139.811869, 深川警察署 千田交番,35.6806,139.815818
窃盗,自転車盗,深川,千田交番,131083,東京都,江東区,扇橋１丁目,2022/5/27,20,一戸建住宅,駐車（輪）場,50歳代,その他,施錠せず,江東区扇橋１丁目,35.683189,139.811869, 深川警察署 千田交番,35.6806,139.815818
窃盗,自転車盗,深川,千田交番,131083,東京都,江東区,扇橋１丁目,2022/6/18,16,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠した,江東区扇橋１丁目,35.683189,139.811869, 深川警察署 千田交番,35.6806,139.815818
窃盗,自転車盗,深川,千田交番,131083,東京都,江東区,扇橋３丁目,2021/12/6,15,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠せず,江東区扇橋３丁目,35.683345,139.81897, 深川警察署 千田交番,35.6806,139.815818
窃盗,自転車盗,深川,千田交番,131083,東京都,江東区,扇橋３丁目,2021/12/7,18,道路上,その他,20歳代,その他,施錠せず,江東区扇橋３丁目,35.683345,139.81897, 深川警察署 千田交番,35.6806,139.815818
窃盗,自転車盗,深川,千田交番,131083,東京都,江東区,扇橋３丁目,2022/9/4,0,道路上,その他,30歳代,その他,施錠せず,江東区扇橋３丁目,35.683345,139.81897, 深川警察署 千田交番,35.6806,139.815818
窃盗,自転車盗,深川,千田交番,131083,東京都,江東区,千石１丁目,2021/11/11,17,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した,江東区千石１丁目,35.678286,139.81247, 深川警察署 千田交番,35.6806,139.815818
窃盗,自転車盗,深川,千田交番,131083,東京都,江東区,千石１丁目,2022/8/15,6,その他,駐車（輪）場,60-64歳,その他,施錠せず,江東区千石１丁目,35.678286,139.81247, 深川警察署 千田交番,35.6806,139.815818
窃盗,自転車盗,深川,千田交番,131083,東京都,江東区,千石２丁目,2021/11/13,7,４階建て以上共同住宅,駐車（輪）場,70歳以上,その他,施錠せず,江東区千石２丁目,35.677999,139.815824, 深川警察署 千田交番,35.6806,139.815818
窃盗,自転車盗,深川,千田交番,131083,東京都,江東区,千石２丁目,2021/11/17,17,４階建て以上共同住宅,駐車（輪）場,70歳以上,その他,施錠した,江東区千石２丁目,35.677999,139.815824, 深川警察署 千田交番,35.6806,139.815818
窃盗,自転車盗,深川,千田交番,131083,東京都,江東区,千石３丁目,2021/11/9,21,４階建て以上共同住宅,駐車（輪）場,10歳代,中学生,施錠せず,江東区千石３丁目,35.678053,139.818725, 深川警察署 千田交番,35.6806,139.815818
窃盗,自転車盗,深川,千田交番,131083,東京都,江東区,千石３丁目,2021/11/20,16,４階建て以上共同住宅,駐車（輪）場,70歳以上,その他,施錠せず,江東区千石３丁目,35.678053,139.818725, 深川警察署 千田交番,35.6806,139.815818
窃盗,自転車盗,深川,千田交番,131083,東京都,江東区,千田,2022/4/30,17,一戸建住宅,駐車（輪）場,40歳代,その他,施錠せず,江東区千田,35.681155,139.815615, 深川警察署 千田交番,35.6806,139.815818
窃盗,自転車盗,深川,千田交番,131083,東京都,江東区,東陽６丁目,2022/6/9,8,その他,駐車（輪）場,20歳代,その他,施錠した,江東区東陽６丁目,35.674814,139.813219, 深川警察署 千田交番,35.6806,139.815818
窃盗,自転車盗,深川,千田交番,131083,東京都,江東区,東陽６丁目,2022/8/25,18,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠せず,江東区東陽６丁目,35.674814,139.813219, 深川警察署 千田交番,35.6806,139.815818
窃盗,自転車盗,深川,千田交番,131083,東京都,江東区,東陽６丁目,2022/9/27,19,その他,駐車（輪）場,20歳代,その他,施錠した,江東区東陽６丁目,35.674814,139.813219, 深川警察署 千田交番,35.6806,139.815818
窃盗,自転車盗,深川,東陽交番,131083,東京都,江東区,越中島３丁目,2021/9/26,16,４階建て以上共同住宅,駐車（輪）場,10歳代,大学生,施錠した,江東区越中島３丁目,35.664328,139.798384, 深川警察署 東陽交番,35.669157,139.812152
窃盗,自転車盗,深川,東陽交番,131083,東京都,江東区,木場１丁目,2022/2/19,19,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠せず,江東区木場１丁目,35.666717,139.803659, 深川警察署 東陽交番,35.669157,139.812152
窃盗,自転車盗,深川,東陽交番,131083,東京都,江東区,木場２丁目,2021/10/28,19,道路上,その他,10歳代,高校生,施錠せず,江東区木場２丁目,35.67058,139.804051, 深川警察署 東陽交番,35.669157,139.812152
窃盗,自転車盗,深川,東陽交番,131083,東京都,江東区,木場５丁目,2022/5/3,8,道路上,その他,10歳代,中学生,施錠した,江東区木場５丁目,35.670671,139.807544, 深川警察署 東陽交番,35.669157,139.812152
窃盗,自転車盗,深川,東陽交番,131083,東京都,江東区,木場５丁目,2022/5/10,18,道路上,その他,20歳代,その他,施錠した,江東区木場５丁目,35.670671,139.807544, 深川警察署 東陽交番,35.669157,139.812152
窃盗,自転車盗,深川,東陽交番,131083,東京都,江東区,木場５丁目,2022/7/14,22,道路上,その他,40歳代,その他,施錠した,江東区木場５丁目,35.670671,139.807544, 深川警察署 東陽交番,35.669157,139.812152
窃盗,自転車盗,深川,東陽交番,131083,東京都,江東区,塩浜２丁目,2021/11/20,23,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠せず,江東区塩浜２丁目,35.662879,139.811664, 深川警察署 東陽交番,35.669157,139.812152
