罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,被害者の性別,被害者の年齢,現金被害の有無,name,latitude,longitude,police_office_name,police_office_latitude,police_office_longitude
窃盗,ひったくり,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町２丁目,2022-06-27,3,道路上,男性,40歳代,あり,新宿区歌舞伎町２丁目,35.696554,139.7043747, 新宿警察署 歌舞伎町交番,35.696151,139.701632
窃盗,ひったくり,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町２丁目,2022-06-30,2,道路上,女性,20歳代,あり,新宿区歌舞伎町２丁目,35.696554,139.7043747, 新宿警察署 歌舞伎町交番,35.696151,139.701632
窃盗,ひったくり,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町２丁目,2022-08-24,3,道路上,男性,20歳代,あり,新宿区歌舞伎町２丁目,35.696554,139.7043747, 新宿警察署 歌舞伎町交番,35.696151,139.701632
窃盗,ひったくり,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町２丁目,2022-08-31,4,道路上,男性,20歳代,あり,新宿区歌舞伎町２丁目,35.696554,139.7043747, 新宿警察署 歌舞伎町交番,35.696151,139.701632
窃盗,ひったくり,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町２丁目,2022-09-19,23,道路上,男性,20歳代,なし,新宿区歌舞伎町２丁目,35.696554,139.7043747, 新宿警察署 歌舞伎町交番,35.696151,139.701632
窃盗,ひったくり,新宿,百人町交番,131041,東京都,新宿区,百人町１丁目,2022-07-11,3,道路上,男性,20歳代,あり,新宿区百人町１丁目,35.6999128,139.6997412, 新宿警察署 百人町交番,35.7014352,139.6994381
窃盗,ひったくり,戸塚,下落合三丁目駐在所,131041,東京都,新宿区,下落合３丁目,2022-03-29,5,道路上,女性,30歳代,あり,新宿区下落合３丁目,35.7211778,139.7023147, 戸塚警察署 下落合三丁目駐在所,35.720342,139.704298
窃盗,ひったくり,戸塚,高田馬場駅前交番,131041,東京都,新宿区,高田馬場３丁目,2022-02-03,7,道路上,女性,40歳代,あり,新宿区高田馬場３丁目,35.713485,139.6976075, 戸塚警察署 高田馬場駅前交番,35.7129424,139.7042877
窃盗,ひったくり,中野,中央五丁目交番,131148,東京都,中野区,本町４丁目,2022-04-20,14,道路上,女性,70歳以上,あり,中野区本町４丁目,35.6956653,139.6711582, 中野警察署 中央五丁目交番,35.6975678,139.6645609
窃盗,ひったくり,高井戸,永福町駅前交番,131156,東京都,杉並区,永福３丁目,2022-04-23,9,道路上,男性,50歳代,あり,杉並区永福３丁目,35.6764787,139.6375126, 高井戸警察署 永福町駅前交番,,
窃盗,ひったくり,大塚,大塚六丁目交番,131059,東京都,文京区,大塚５丁目,2022-07-14,1,道路上,男性,20歳代,あり,文京区大塚５丁目,35.7227151,139.7276026, 大塚警察署 大塚六丁目交番,35.7252359,139.7284973
窃盗,ひったくり,本富士,本郷交番,131059,東京都,文京区,本郷３丁目,2022-08-24,4,道路上,男性,65-69歳,なし,文京区本郷３丁目,35.7044204,139.7632894, 本富士警察署 本郷交番,35.7076352,139.76041159958532
窃盗,ひったくり,駒込,上富士前交番,131059,東京都,文京区,本駒込５丁目,2022-07-28,19,道路上,女性,70歳以上,あり,文京区本駒込５丁目,35.7327519,139.7523621, 駒込警察署 上富士前交番,35.732313,139.7496294
窃盗,ひったくり,駒込,団子坂交番,131059,東京都,文京区,千駄木５丁目,2022-09-27,20,道路上,女性,50歳代,あり,文京区千駄木５丁目,35.7274996,139.758857, 駒込警察署 団子坂交番,35.7271271,139.7635955
窃盗,ひったくり,巣鴨,駒込駅前交番,131164,東京都,豊島区,駒込１丁目,2022-04-17,6,道路上,女性,70歳以上,あり,豊島区駒込１丁目,35.7350838,139.7497295, 巣鴨警察署 駒込駅前交番,35.7366848,139.7467579
窃盗,ひったくり,池袋,平和通交番,131164,東京都,豊島区,池袋２丁目,2022-04-10,3,道路上,女性,30歳代,あり,豊島区池袋２丁目,35.7340006,139.7088419, 池袋警察署 平和通交番,35.733397,139.711547
窃盗,ひったくり,池袋,池袋二又交番,131164,東京都,豊島区,池袋２丁目,2022-08-10,2,道路上,男性,40歳代,あり,豊島区池袋２丁目,35.7340006,139.7088419, 池袋警察署 池袋二又交番,35.7316561,139.7068437
窃盗,ひったくり,池袋,池袋二又交番,131164,東京都,豊島区,池袋２丁目,2022-08-31,4,道路上,男性,30歳代,あり,豊島区池袋２丁目,35.7340006,139.7088419, 池袋警察署 池袋二又交番,35.7316561,139.7068437
窃盗,ひったくり,池袋,池袋二又交番,131164,東京都,豊島区,池袋３丁目,2022-06-30,3,道路上,女性,40歳代,あり,豊島区池袋３丁目,35.7361009,139.70616918035245, 池袋警察署 池袋二又交番,35.7316561,139.7068437
窃盗,ひったくり,王子,中十条交番,131172,東京都,北区,東十条１丁目,2022-08-27,23,道路上,女性,70歳以上,あり,北区東十条１丁目,35.7609612,139.7311443, 王子警察署 中十条交番,35.7626376,139.7273448
窃盗,ひったくり,王子,十条仲原交番,131172,東京都,北区,東十条５丁目,2022-04-17,20,道路上,女性,70歳以上,あり,北区東十条５丁目,35.7685924,139.7260932, 王子警察署 十条仲原交番,35.765446,139.719275
窃盗,ひったくり,王子,十条仲原交番,131172,東京都,北区,東十条６丁目,2022-04-19,20,道路上,男性,40歳代,なし,北区東十条６丁目,35.770818,139.724498, 王子警察署 十条仲原交番,35.765446,139.719275
窃盗,ひったくり,赤羽,岩淵交番,131172,東京都,北区,赤羽３丁目,2022-10-23,9,道路上,女性,50歳代,あり,北区赤羽３丁目,35.786752,139.718311, 赤羽警察署 岩淵交番,35.7867454,139.7223784
窃盗,ひったくり,板橋,大山町交番,131199,東京都,板橋区,幸町,2022-05-31,20,道路上,女性,70歳以上,あり,板橋区幸町,35.74458835,139.69705462113575, 板橋警察署 大山町交番,35.7485412,139.6971807
窃盗,ひったくり,板橋,平尾交番,131199,東京都,板橋区,板橋４丁目,2022-04-19,20,道路上,女性,60-64歳,あり,板橋区板橋４丁目,35.7508082,139.718925, 板橋警察署 平尾交番,35.74906,139.7155152
窃盗,ひったくり,板橋,養育院前交番,131199,東京都,板橋区,大山東町,2022-02-12,4,道路上,男性,30歳代,あり,板橋区大山東町,35.749059,139.705155, 板橋警察署 養育院前交番,35.7498544,139.7017064
窃盗,ひったくり,志村,蓮根交番,131199,東京都,板橋区,蓮根３丁目,2022-09-12,21,道路上,女性,60-64歳,あり,板橋区蓮根３丁目,35.7885949,139.676396, 志村警察署 蓮根交番,35.7803525,139.6763857
窃盗,ひったくり,石神井,大泉学園交番,131202,東京都,練馬区,大泉学園町５丁目,2022-10-14,19,道路上,女性,10歳代,あり,練馬区大泉学園町５丁目,35.7659381,139.5817123, 石神井警察署 大泉学園交番,35.7679361,139.587336
窃盗,ひったくり,高島平,成増駅前交番,131199,東京都,板橋区,高島平１丁目,2022-02-12,4,道路上,男性,50歳代,あり,板橋区高島平１丁目,35.7838909,139.6698298, 高島平警察署 成増駅前交番,35.7770465,139.6325992
窃盗,ひったくり,上野,上野駅前交番,131067,東京都,台東区,上野７丁目,2022-11-14,0,道路上,男性,70歳以上,あり,台東区上野７丁目,35.715837,139.7798051, 上野警察署 上野駅前交番,,
窃盗,ひったくり,上野,黒門交番,131067,東京都,台東区,上野１丁目,2021-10-05,22,道路上,女性,40歳代,なし,台東区上野１丁目,35.7066556,139.7715506, 上野警察署 黒門交番,35.7066715,139.772291
窃盗,ひったくり,下谷,三ノ輪交番,131067,東京都,台東区,竜泉３丁目,2022-09-14,10,道路上,女性,40歳代,あり,台東区竜泉３丁目,35.7253946,139.7931249, 下谷警察署 三ノ輪交番,,
窃盗,ひったくり,下谷,入谷東交番,131067,東京都,台東区,入谷２丁目,2022-07-21,21,道路上,女性,40歳代,あり,台東区入谷２丁目,35.7203688,139.7887154, 下谷警察署 入谷東交番,35.7182545,139.7883996
窃盗,ひったくり,下谷,初音交番,131067,東京都,台東区,谷中５丁目,2022-08-28,21,道路上,女性,65-69歳,あり,台東区谷中５丁目,35.725596,139.7676802, 下谷警察署 初音交番,35.7243282,139.7647883
窃盗,ひったくり,下谷,鶯谷駅前交番,131067,東京都,台東区,根岸３丁目,2022-11-18,16,道路上,女性,65-69歳,なし,台東区根岸３丁目,35.7227042,139.7816223, 下谷警察署 鶯谷駅前交番,35.7228986,139.7778544
窃盗,ひったくり,下谷,鶯谷駅前交番,131067,東京都,台東区,根岸４丁目,2022-10-25,23,道路上,女性,50歳代,あり,台東区根岸４丁目,35.7255807,139.7845432, 下谷警察署 鶯谷駅前交番,35.7228986,139.7778544
窃盗,ひったくり,浅草,公園六区交番,131067,東京都,台東区,西浅草３丁目,2022-08-28,23,道路上,女性,60-64歳,あり,台東区西浅草３丁目,35.7159557,139.7913305, 浅草警察署 公園六区交番,35.7137827,139.7934642
窃盗,ひったくり,浅草,東浅草交番,131067,東京都,台東区,東浅草２丁目,2022-10-25,23,道路上,女性,40歳代,あり,台東区東浅草２丁目,35.7246292,139.799872, 浅草警察署 東浅草交番,35.7229992,139.8013729
窃盗,ひったくり,蔵前,須賀橋交番,131067,東京都,台東区,浅草橋１丁目,2022-04-20,2,道路上,女性,50歳代,あり,台東区浅草橋１丁目,35.6974694,139.7849717, 蔵前警察署 須賀橋交番,35.700147,139.7883814
窃盗,ひったくり,尾久,赤土交番,131181,東京都,荒川区,東尾久３丁目,2022-07-31,6,その他,男性,40歳代,あり,荒川区東尾久３丁目,35.746272,139.7712, 尾久警察署 赤土交番,,
窃盗,ひったくり,南千住,南千住駅東口交番,131181,東京都,荒川区,南千住５丁目,2022-01-25,5,道路上,女性,70歳以上,あり,荒川区南千住５丁目,35.733617,139.795661, 南千住警察署 南千住駅東口交番,35.732836,139.799921
窃盗,ひったくり,荒川,三河島駅前交番,131181,東京都,荒川区,荒川３丁目,2022-09-08,23,道路上,女性,70歳以上,あり,荒川区荒川３丁目,35.734245,139.781115, 荒川警察署 三河島駅前交番,,
窃盗,ひったくり,西新井,島根交番,131211,東京都,足立区,島根３丁目,2022-07-18,21,道路上,女性,70歳以上,あり,足立区島根３丁目,35.7794116,139.7953284, 西新井警察署 島根交番,35.7820463,139.7978116
窃盗,ひったくり,綾瀬,中央本町交番,131211,東京都,足立区,保塚町,2022-10-01,0,道路上,女性,50歳代,あり,足立区保塚町,35.7864615,139.8134708, 綾瀬警察署 中央本町交番,35.7749739,139.8034744
窃盗,ひったくり,綾瀬,大谷田交番,131211,東京都,足立区,佐野２丁目,2022-02-21,13,道路上,女性,70歳以上,なし,足立区佐野２丁目,35.7873405,139.8387855, 綾瀬警察署 大谷田交番,35.7761331,139.8434775
窃盗,ひったくり,綾瀬,弘道交番,131211,東京都,足立区,青井３丁目,2022-07-05,13,道路上,女性,70歳以上,あり,足立区青井３丁目,35.7716659,139.8194312136991, 綾瀬警察署 弘道交番,35.770701,139.810537
窃盗,ひったくり,綾瀬,神明交番,131211,東京都,足立区,神明１丁目,2022-08-29,17,道路上,女性,70歳以上,あり,足立区神明１丁目,35.7932063,139.8299289, 綾瀬警察署 神明交番,35.7917124,139.8316794
窃盗,ひったくり,綾瀬,神明交番,131211,東京都,足立区,辰沼１丁目,2022-02-11,19,道路上,女性,70歳以上,あり,足立区辰沼１丁目,35.7858871,139.8348856, 綾瀬警察署 神明交番,35.7917124,139.8316794
窃盗,ひったくり,綾瀬,神明交番,131211,東京都,足立区,谷中５丁目,2022-01-10,22,道路上,女性,70歳以上,あり,足立区谷中５丁目,35.7826233,139.8349929, 綾瀬警察署 神明交番,35.7917124,139.8316794
窃盗,ひったくり,綾瀬,綾瀬駅東口交番,131211,東京都,足立区,綾瀬２丁目,2022-09-08,0,道路上,女性,20歳代,あり,足立区綾瀬２丁目,35.7604302,139.8284161, 綾瀬警察署 綾瀬駅東口交番,35.7627604,139.8278633
窃盗,ひったくり,綾瀬,綾瀬駅西口交番,131211,東京都,足立区,綾瀬２丁目,2022-07-03,4,道路上,女性,50歳代,あり,足立区綾瀬２丁目,35.7604302,139.8284161, 綾瀬警察署 綾瀬駅西口交番,35.7616666,139.8228475
窃盗,ひったくり,竹の塚,見沼代親水公園駅前交番,131211,東京都,足立区,古千谷１丁目,2022-07-13,17,道路上,女性,10歳代,なし,足立区古千谷１丁目,35.7967568,139.7735166, 竹の塚警察署 見沼代親水公園駅前交番,,
窃盗,ひったくり,竹の塚,見沼代親水公園駅前交番,131211,東京都,足立区,舎人４丁目,2022-07-13,17,道路上,男性,40歳代,あり,足立区舎人４丁目,35.817152,139.7689676, 竹の塚警察署 見沼代親水公園駅前交番,,
窃盗,ひったくり,城東,亀戸駅前交番,131083,東京都,江東区,亀戸１丁目,2022-08-30,2,道路上,男性,50歳代,あり,江東区亀戸１丁目,35.695595,139.822688, 城東警察署 亀戸駅前交番,35.696848,139.825345
窃盗,ひったくり,城東,亀戸駅前交番,131083,東京都,江東区,亀戸５丁目,2022-03-26,19,その他,男性,40歳代,なし,江東区亀戸５丁目,35.699212,139.829033, 城東警察署 亀戸駅前交番,35.696848,139.825345
窃盗,ひったくり,城東,北砂五丁目交番,131083,東京都,江東区,北砂３丁目,2022-07-29,10,その他,男性,65-69歳,なし,江東区北砂３丁目,35.682435,139.828917, 城東警察署 北砂五丁目交番,35.6842049,139.8346646
窃盗,ひったくり,城東,進開橋交番,131083,東京都,江東区,大島２丁目,2022-09-07,5,道路上,男性,20歳代,なし,江東区大島２丁目,35.691697,139.822377, 城東警察署 進開橋交番,35.6870453,139.8267049
窃盗,ひったくり,本所,両国交番,131075,東京都,墨田区,両国２丁目,2022-11-03,20,道路上,女性,30歳代,あり,墨田区両国２丁目,35.693886,139.792108, 本所警察署 両国交番,,
窃盗,ひったくり,本所,江東橋交番,131075,東京都,墨田区,緑１丁目,2022-10-28,9,道路上,女性,65-69歳,あり,墨田区緑１丁目,35.694088,139.798998, 本所警察署 江東橋交番,35.6949499,139.8085755
窃盗,ひったくり,本所,錦糸町駅南口交番,131075,東京都,墨田区,江東橋４丁目,2022-06-14,3,道路上,男性,40歳代,あり,墨田区江東橋４丁目,35.695011,139.817372, 本所警察署 錦糸町駅南口交番,35.69598725,139.81479650833177
窃盗,ひったくり,向島,京島交番,131075,東京都,墨田区,京島３丁目,2022-09-07,5,道路上,男性,60-64歳,あり,墨田区京島３丁目,35.714639,139.823446, 向島警察署 京島交番,,
窃盗,ひったくり,亀有,東金町交番,131229,東京都,葛飾区,東金町５丁目,2022-07-29,21,道路上,女性,50歳代,あり,葛飾区東金町５丁目,35.778745,139.878248, 亀有警察署 東金町交番,35.7765696,139.8796678
窃盗,ひったくり,亀有,柴又交番,131229,東京都,葛飾区,柴又４丁目,2022-10-11,19,道路上,女性,20歳代,あり,葛飾区柴又４丁目,35.753565,139.875244, 亀有警察署 柴又交番,35.7562071,139.8769165
窃盗,ひったくり,亀有,金町駅北口交番,131229,東京都,葛飾区,金町６丁目,2022-06-01,15,道路上,男性,65-69歳,あり,葛飾区金町６丁目,35.768392,139.872398, 亀有警察署 金町駅北口交番,35.7701064,139.8702694
窃盗,ひったくり,葛飾,新小岩駅前交番,131229,東京都,葛飾区,新小岩１丁目,2022-08-30,3,道路上,男性,50歳代,あり,葛飾区新小岩１丁目,35.714252,139.854932, 葛飾警察署 新小岩駅前交番,35.71658205,139.85864229144255
窃盗,ひったくり,葛飾,立石交番,131229,東京都,葛飾区,立石１丁目,2022-10-25,5,道路上,女性,10歳代,なし,葛飾区立石１丁目,35.737208,139.846839, 葛飾警察署 立石交番,35.7366242,139.8454716
窃盗,ひったくり,葛飾,細田交番,131229,東京都,葛飾区,細田５丁目,2022-05-31,13,その他,女性,20歳代,なし,葛飾区細田５丁目,35.73909,139.875227, 葛飾警察署 細田交番,35.740142,139.8695527
窃盗,ひったくり,小松川,八蔵橋交番,131237,東京都,江戸川区,中央４丁目,2022-07-03,4,道路上,女性,20歳代,あり,江戸川区中央４丁目,35.7113001,139.8677738, 小松川警察署 八蔵橋交番,35.7082979,139.867753
窃盗,ひったくり,小岩,小岩駅前交番,131237,東京都,江戸川区,南小岩６丁目,2022-03-31,20,道路上,女性,70歳以上,あり,江戸川区南小岩６丁目,35.729527,139.878707, 小岩警察署 小岩駅前交番,35.7330816,139.8819066
窃盗,ひったくり,小岩,鹿骨交番,131237,東京都,江戸川区,鹿骨１丁目,2022-07-22,14,道路上,女性,70歳以上,なし,江戸川区鹿骨１丁目,35.708809,139.887588, 小岩警察署 鹿骨交番,35.710294,139.88931
窃盗,ひったくり,葛西,清新町交番,131237,東京都,江戸川区,西葛西８丁目,2022-06-27,22,道路上,女性,20歳代,あり,江戸川区西葛西８丁目,35.6562556,139.8614918, 葛西警察署 清新町交番,35.6573992,139.85536812759563
窃盗,ひったくり,葛西,葛西駅前交番,131237,東京都,江戸川区,東葛西６丁目,2022-06-30,23,道路上,女性,30歳代,あり,江戸川区東葛西６丁目,35.6612495,139.8779512, 葛西警察署 葛西駅前交番,,
窃盗,ひったくり,南大沢,相原駐在所,132098,東京都,町田市,小山町,2022-01-20,10,道路上,女性,40歳代,あり,町田市小山町,35.5956062,139.3770822, 南大沢警察署 相原駐在所,35.6056826,139.3429527
窃盗,ひったくり,多摩中央,大丸交番,132250,東京都,稲城市,大丸,2022-08-31,19,その他,男性,30歳代,あり,稲城市大丸,35.644584,139.477742, 多摩中央警察署 大丸交番,35.64792,139.4929595
窃盗,ひったくり,多摩中央,桜ケ丘駅前交番,132241,東京都,多摩市,一ノ宮１丁目,2022-09-30,11,道路上,女性,65-69歳,あり,多摩市一ノ宮１丁目,35.65347,139.440664, 多摩中央警察署 桜ケ丘駅前交番,,
窃盗,ひったくり,東大和,けやき通交番,132209,東京都,東大和市,新堀１丁目,2022-07-28,9,道路上,女性,70歳以上,なし,東大和市新堀１丁目,35.73903,139.449656, 東大和警察署 けやき通交番,,
窃盗,ひったくり,五日市,山田駐在所,132284,東京都,あきる野市,伊奈,2022-08-06,16,道路上,女性,70歳以上,なし,あきる野市伊奈,,, 五日市警察署 山田駐在所,35.726969,139.259225
窃盗,ひったくり,五日市,平井駐在所,133051,東京都,日の出町,大字平井,2022-07-29,16,道路上,女性,70歳以上,あり,日の出町大字平井,,, 五日市警察署 平井駐在所,35.740718,139.268112
窃盗,ひったくり,八王子,八王子駅北口交番,132012,東京都,八王子市,東町,2022-04-23,11,道路上,女性,70歳以上,あり,八王子市東町,35.626300549999996,139.32004835388557, 八王子警察署 八王子駅北口交番,,
窃盗,ひったくり,八王子,八王子駅北口交番,132012,東京都,八王子市,三崎町,2022-04-11,5,道路上,男性,30歳代,あり,八王子市三崎町,35.6564149,139.3425292, 八王子警察署 八王子駅北口交番,,
窃盗,ひったくり,八王子,八王子駅北口交番,132012,東京都,八王子市,三崎町,2022-07-01,5,道路上,男性,30歳代,あり,八王子市三崎町,35.6564149,139.3425292, 八王子警察署 八王子駅北口交番,,
窃盗,ひったくり,八王子,八王子駅北口交番,132012,東京都,八王子市,南町,2022-05-23,4,道路上,男性,40歳代,あり,八王子市南町,,, 八王子警察署 八王子駅北口交番,,
窃盗,ひったくり,八王子,八王子駅北口交番,132012,東京都,八王子市,明神町４丁目,2022-08-28,4,道路上,男性,65-69歳,あり,八王子市明神町４丁目,35.6564149,139.3425292, 八王子警察署 八王子駅北口交番,,
窃盗,ひったくり,八王子,八王子駅南口交番,132012,東京都,八王子市,子安町１丁目,2022-07-28,10,道路上,女性,70歳以上,あり,八王子市子安町１丁目,,, 八王子警察署 八王子駅南口交番,,
窃盗,ひったくり,八王子,八王子駅南口交番,132012,東京都,八王子市,子安町２丁目,2022-08-02,18,道路上,女性,40歳代,あり,八王子市子安町２丁目,,, 八王子警察署 八王子駅南口交番,,
窃盗,ひったくり,町田,山崎交番,132098,東京都,町田市,山崎町,2022-06-21,22,道路上,男性,70歳以上,あり,町田市山崎町,35.5761816,139.435463, 町田警察署 山崎交番,35.5732947,139.4363015
窃盗,ひったくり,日野,高幡不動駅南口交番,132128,東京都,日野市,高幡,2022-09-30,11,道路上,女性,65-69歳,あり,日野市高幡,35.662314,139.414086, 日野警察署 高幡不動駅南口交番,35.6621099,139.4129333
窃盗,ひったくり,立川,富士塚交番,132021,東京都,立川市,富士見町２丁目,2022-03-13,4,道路上,女性,20歳代,あり,立川市富士見町２丁目,35.6998214,139.4027389, 立川警察署 富士塚交番,35.7012918,139.3963347
窃盗,ひったくり,立川,富士見台交番,132152,東京都,国立市,富士見台１丁目,2022-07-28,20,道路上,男性,70歳以上,なし,国立市富士見台１丁目,35.684003,139.449285, 立川警察署 富士見台交番,35.6857014,139.4474238
