罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,新宿,百人町交番,131041,東京都,新宿区,北新宿１丁目,2018-04-06,16,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新宿,大久保交番,131041,東京都,新宿区,大久保１丁目,2018-08-14,23,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町２丁目,2018-03-08,23,駐車（輪）場,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,高田馬場駅前交番,131041,東京都,新宿区,高田馬場３丁目,2018-09-09,21,道路上,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,上落合交番,131041,東京都,新宿区,上落合２丁目,2018-02-11,00,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,四谷,花園交番,131041,東京都,新宿区,歌舞伎町１丁目,2012-02-13,13,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,中野,鍋屋横丁交番,131148,東京都,中野区,中央４丁目,2018-10-23,23,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,中野,南台交番,131148,東京都,中野区,南台２丁目,2018-02-15,不明,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,野方,薬師駅前交番,131148,東京都,中野区,新井５丁目,2018-05-20,04,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,野方,江古田四丁目交番,131148,東京都,中野区,江古田３丁目,2018-08-11,08,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,杉並,堀ノ内交番,131156,東京都,杉並区,梅里１丁目,2018-10-26,03,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,杉並,高円寺交番,131156,東京都,杉並区,梅里１丁目,2018-01-31,02,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,杉並,高円寺交番,131156,東京都,杉並区,梅里１丁目,2018-10-14,16,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,杉並,高円寺駅前交番,131156,東京都,杉並区,高円寺南３丁目,2018-06-08,08,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,杉並,阿佐谷駅前交番,131156,東京都,杉並区,阿佐谷北１丁目,2018-07-10,14,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,高井戸,泉南交番,131156,東京都,杉並区,方南１丁目,2016-07-15,09,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,高井戸,下高井戸交番,131156,東京都,杉並区,下高井戸２丁目,2018-09-30,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,荻窪,荻窪駅北口交番,131156,東京都,杉並区,天沼２丁目,2018-06-21,14,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,大塚,大塚六丁目交番,131059,東京都,文京区,大塚５丁目,2018-01-27,03,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,巣鴨,大塚駅前交番,131164,東京都,豊島区,南大塚３丁目,2018-02-24,18,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,池袋,池袋二又交番,131164,東京都,豊島区,西池袋５丁目,2015-03-20,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,池袋,池袋二又交番,131164,東京都,豊島区,西池袋５丁目,2015-12-31,08,４階建て以上共同住宅,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,池袋,池袋二又交番,131164,東京都,豊島区,西池袋５丁目,2015-12-31,08,４階建て以上共同住宅,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,滝野川,尾久駅前交番,131172,東京都,北区,昭和町２丁目,2018-08-20,17,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,王子,王子五丁目交番,131172,東京都,北区,王子５丁目,2018-03-08,09,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,王子,東十条交番,131172,東京都,北区,王子５丁目,2017-06-01,12,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,王子,王子本町交番,131172,東京都,北区,岸町１丁目,2018-03-03,08,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,赤羽,宮堀交番,131172,東京都,北区,神谷３丁目,2018-08-12,03,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,赤羽,西が丘交番,131172,東京都,北区,赤羽西１丁目,2018-04-13,19,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,赤羽,西が丘交番,131172,東京都,北区,赤羽西６丁目,2018-02-20,20,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,赤羽,赤羽北交番,131172,東京都,北区,赤羽北２丁目,2018-01-27,16,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,赤羽,赤羽北交番,131172,東京都,北区,赤羽北３丁目,2018-03-01,22,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,板橋,平尾交番,131199,東京都,板橋区,板橋３丁目,2018-06-25,05,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,板橋,茂呂交番,131199,東京都,板橋区,小茂根１丁目,2017-06-21,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,志村,前野町交番,131199,東京都,板橋区,前野町２丁目,2018-07-09,14,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,志村,前野町交番,131199,東京都,板橋区,前野町２丁目,2018-10-05,17,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,志村,前野町交番,131199,東京都,板橋区,前野町３丁目,2017-07-01,19,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北５丁目,2018-04-26,06,道路上,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,練馬,氷川台駐在所,131202,東京都,練馬区,氷川台１丁目,2018-10-19,19,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,石神井,大泉学園駅前交番,131202,東京都,練馬区,東大泉１丁目,2018-10-22,22,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,石神井,大泉学園駅前交番,131202,東京都,練馬区,東大泉３丁目,2018-06-17,13,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,高島平,高島平駅前交番,131199,東京都,板橋区,高島平２丁目,2018-02-24,17,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,高島平,西台駅前交番,131199,東京都,板橋区,徳丸２丁目,2018-11-10,08,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,高島平,北野交番,131199,東京都,板橋区,徳丸２丁目,2018-04-04,18,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,高島平,北野交番,131199,東京都,板橋区,徳丸２丁目,2018-11-02,19,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,高島平,北野交番,131199,東京都,板橋区,徳丸７丁目,2018-10-27,18,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,高島平,下赤塚交番,131199,東京都,板橋区,赤塚新町１丁目,2018-10-07,01,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,高島平,下赤塚交番,131199,東京都,板橋区,赤塚新町３丁目,2018-11-16,20,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,高島平,上赤塚交番,131199,東京都,板橋区,成増５丁目,2018-02-07,23,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,高島平,松月院前交番,131199,東京都,板橋区,徳丸８丁目,2016-03-18,20,道路上,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,光が丘,北町交番,131202,東京都,練馬区,北町６丁目,2018-05-24,06,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,光が丘,光が丘三丁目交番,131202,東京都,練馬区,高松４丁目,2018-09-07,01,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,光が丘,光が丘三丁目交番,131202,東京都,練馬区,光が丘７丁目,2017-10-04,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,上野,公園前交番,131067,東京都,台東区,上野２丁目,2018-10-27,10,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,下谷,入谷東交番,131067,東京都,台東区,根岸４丁目,2018-06-20,03,道路上,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,下谷,入谷東交番,131067,東京都,台東区,松が谷４丁目,2017-04-21,00,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,下谷,鶯谷駅前交番,131067,東京都,台東区,根岸３丁目,2018-06-07,02,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,浅草,,131075,東京都,墨田区,吾妻橋１丁目,2018-11-24,08,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,浅草,日本堤交番,131067,東京都,台東区,清川２丁目,2018-04-16,19,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,浅草,吉原交番,131067,東京都,台東区,千束３丁目,2018-04-18,11,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,浅草,西浅草三丁目交番,131067,東京都,台東区,千束１丁目,2018-07-09,22,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,浅草,西浅草三丁目交番,131067,東京都,台東区,西浅草３丁目,2018-05-12,20,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,浅草,聖天町交番,131067,東京都,台東区,浅草６丁目,2018-01-13,21,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,蔵前,菊屋橋交番,131067,東京都,台東区,東上野６丁目,2018-11-30,02,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,蔵前,須賀橋交番,131067,東京都,台東区,柳橋２丁目,2018-01-27,08,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,尾久,尾竹橋交番,131181,東京都,荒川区,町屋７丁目,2018-09-27,17,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,南千住,南千住一丁目交番,131181,東京都,荒川区,南千住１丁目,2018-04-19,17,道路上,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,荒川,町屋交番,131181,東京都,荒川区,町屋３丁目,2018-02-09,15,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,荒川,日暮里駅前交番,131181,東京都,荒川区,東日暮里４丁目,2018-06-13,15,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,荒川,日暮里駅前交番,131181,東京都,荒川区,東日暮里４丁目,2018-06-13,15,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,荒川,日暮里駅前交番,131181,東京都,荒川区,東日暮里５丁目,2018-05-24,17,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,荒川,西日暮里駅前交番,131181,東京都,荒川区,西日暮里５丁目,2018-03-07,03,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,千住,北千住駅西口交番,131211,東京都,足立区,千住仲町,2018-02-04,19,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,千住,桜木町交番,131211,東京都,足立区,千住元町,2018-03-20,00,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,千住,大橋交番,131211,東京都,足立区,千住仲町,2017-12-09,13,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,千住,北千住駅東口交番,131211,東京都,足立区,柳原１丁目,2017-03-10,23,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,千住,曙町交番,131211,東京都,足立区,千住曙町,2018-05-17,00,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西新井,大師前交番,131211,東京都,足立区,西新井本町２丁目,2017-12-10,17,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西新井,大師前交番,131211,東京都,足立区,西新井本町２丁目,2018-05-10,21,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西新井,西新井駅前交番,131211,東京都,足立区,西新井栄町１丁目,2018-03-08,09,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西新井,江北交番,131211,東京都,足立区,江北４丁目,2018-01-20,13,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西新井,島根交番,131211,東京都,足立区,島根４丁目,2018-01-29,20,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
