罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金以外の主な被害品,name,latitude,longitude,police_office_name,police_office_latitude,police_office_longitude
窃盗,部品ねらい,深川,現代美術館前交番,131083,東京都,江東区,木場３丁目,2022/5/24,19,道路上,その他,その他,江東区木場３丁目,35.673999,139.804936, 深川警察署 現代美術館前交番,,
窃盗,部品ねらい,深川,豊洲交番,131083,東京都,江東区,豊洲２丁目,2022/5/30,12,４階建て以上共同住宅,駐車（輪）場,その他,江東区豊洲２丁目,35.655271,139.792777, 深川警察署 豊洲交番,,
窃盗,部品ねらい,深川,豊洲交番,131083,東京都,江東区,豊洲３丁目,2022/8/3,9,その他,駐車（輪）場,その他,江東区豊洲３丁目,35.658936,139.79692, 深川警察署 豊洲交番,,
窃盗,部品ねらい,深川,門前仲町交番,131083,東京都,江東区,富岡２丁目,2022/5/6,20,道路上,その他,その他,江東区富岡２丁目,35.671002,139.801459, 深川警察署 門前仲町交番,35.672684,139.794876
窃盗,部品ねらい,深川,門前仲町交番,131083,東京都,江東区,古石場１丁目,2022/8/20,不明,一戸建住宅,駐車（輪）場,ナンバープレート,江東区古石場１丁目,35.668858,139.795062, 深川警察署 門前仲町交番,35.672684,139.794876
窃盗,部品ねらい,深川,門前仲町交番,131083,東京都,江東区,門前仲町２丁目,2022/5/16,19,道路上,その他,その他,江東区門前仲町２丁目,35.672524,139.795782, 深川警察署 門前仲町交番,35.672684,139.794876
窃盗,部品ねらい,丸の内,有楽町駅前交番,131016,東京都,千代田区,丸の内３丁目,2022/5/19,12,駐車（輪）場,駐車（輪）場,ナンバープレート,千代田区丸の内３丁目,35.67672365,139.76338837657545, 丸の内警察署 有楽町駅前交番,35.673905,139.762572
窃盗,部品ねらい,神田,水道橋駅前交番,131016,東京都,千代田区,神田神保町１丁目,2022/2/17,21,道路上,その他,その他,千代田区神田神保町１丁目,35.696491,139.759073, 神田警察署 水道橋駅前交番,35.70241745,139.75166135210947
窃盗,部品ねらい,神田,水道橋駅前交番,131016,東京都,千代田区,神田猿楽町２丁目,2022/8/27,23,道路上,その他,その他,千代田区神田猿楽町２丁目,35.6999845,139.758485, 神田警察署 水道橋駅前交番,35.70241745,139.75166135210947
窃盗,部品ねらい,万世橋,神田駅交番,131016,東京都,千代田区,神田須田町２丁目,2021/12/9,18,その他,駐車（輪）場,その他,千代田区神田須田町２丁目,35.695815,139.773059, 万世橋警察署 神田駅交番,,
窃盗,部品ねらい,万世橋,秋葉原交番,131016,東京都,千代田区,神田佐久間町２丁目,2022/3/7,23,その他,駐車（輪）場,その他,千代田区神田佐久間町２丁目,35.69806155,139.77618462153404, 万世橋警察署 秋葉原交番,,
窃盗,部品ねらい,万世橋,秋葉原交番,131016,東京都,千代田区,神田練塀町,2022/7/23,19,駐車（輪）場,駐車（輪）場,ナンバープレート,千代田区神田練塀町,35.70071,139.774037, 万世橋警察署 秋葉原交番,,
窃盗,部品ねらい,万世橋,秋葉原交番,131016,東京都,千代田区,神田花岡町,2022/7/19,15,駐車（輪）場,駐車（輪）場,その他,千代田区神田花岡町,35.698802,139.773971, 万世橋警察署 秋葉原交番,,
窃盗,部品ねらい,万世橋,秋葉原交番,131016,東京都,千代田区,神田花岡町,2022/11/6,15,駐車（輪）場,駐車（輪）場,その他,千代田区神田花岡町,35.698802,139.773971, 万世橋警察署 秋葉原交番,,
窃盗,部品ねらい,久松,東日本橋交番,131024,東京都,中央区,日本橋横山町,2022/1/26,12,道路上,その他,その他,中央区日本橋横山町,35.693024,139.783587, 久松警察署 東日本橋交番,35.695671,139.784962
窃盗,部品ねらい,久松,浜町交番,131024,東京都,中央区,日本橋浜町２丁目,2022/2/18,11,その他,駐車（輪）場,その他,中央区日本橋浜町２丁目,35.688027,139.78818, 久松警察署 浜町交番,35.687154,139.790822
窃盗,部品ねらい,築地,小田原町交番,131024,東京都,中央区,築地７丁目,2021/10/20,0,４階建て以上共同住宅,駐車（輪）場,その他,中央区築地７丁目,35.665022,139.77561, 築地警察署 小田原町交番,35.6652883,139.7721715
窃盗,部品ねらい,築地,小田原町交番,131024,東京都,中央区,築地７丁目,2022/4/27,10,道路上,その他,その他,中央区築地７丁目,35.665022,139.77561, 築地警察署 小田原町交番,35.6652883,139.7721715
窃盗,部品ねらい,月島,勝どき橋交番,131024,東京都,中央区,勝どき６丁目,2022/9/4,12,４階建て以上共同住宅,駐車（輪）場,その他,中央区勝どき６丁目,35.654772,139.773673, 月島警察署 勝どき橋交番,35.6604606,139.7768646
窃盗,部品ねらい,月島,晴海三丁目交番,131024,東京都,中央区,晴海１丁目,2022/2/3,14,その他,駐車（輪）場,その他,中央区晴海１丁目,35.659523,139.786164, 月島警察署 晴海三丁目交番,35.6557004,139.7818254
窃盗,部品ねらい,三田,海岸通交番,131032,東京都,港区,海岸３丁目,2022/6/13,8,駐車（輪）場,駐車（輪）場,ナンバープレート,港区海岸３丁目,35.640762,139.7572356, 三田警察署 海岸通交番,35.6406693,139.7544019
窃盗,部品ねらい,三田,海岸通交番,131032,東京都,港区,海岸３丁目,2022/6/13,17,その他,駐車（輪）場,ナンバープレート,港区海岸３丁目,35.640762,139.7572356, 三田警察署 海岸通交番,35.6406693,139.7544019
窃盗,部品ねらい,三田,芝四丁目交番,131032,東京都,港区,芝５丁目,2022/3/2,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他,港区芝５丁目,35.647148,139.7469836, 三田警察署 芝四丁目交番,35.64908135,139.75267435004596
窃盗,部品ねらい,高輪,品川駅港南口交番,131032,東京都,港区,港南４丁目,2022/7/22,22,４階建て以上共同住宅,駐車（輪）場,その他,港区港南４丁目,35.6274075,139.7492748, 高輪警察署 品川駅港南口交番,,
窃盗,部品ねらい,高輪,白金三光町交番,131032,東京都,港区,白金台４丁目,2022/9/6,9,その他,駐車（輪）場,その他,港区白金台４丁目,35.6393691,139.7260067, 高輪警察署 白金三光町交番,35.644574,139.725354
窃盗,部品ねらい,高輪,高輪二丁目交番,131032,東京都,港区,高輪２丁目,2022/1/1,不明,４階建て以上共同住宅,駐車（輪）場,その他,港区高輪２丁目,35.6373746,139.7371325, 高輪警察署 高輪二丁目交番,35.6399785,139.7369447
窃盗,部品ねらい,高輪,高輪台交番,131032,東京都,港区,高輪３丁目,2022/8/5,11,駐車（輪）場,駐車（輪）場,その他,港区高輪３丁目,35.6319377,139.7349733, 高輪警察署 高輪台交番,35.632075,139.730521
窃盗,部品ねらい,麻布,一之橋交番,131032,東京都,港区,麻布十番１丁目,2022/7/21,16,駐車（輪）場,駐車（輪）場,その他,港区麻布十番１丁目,35.6566871,139.7356861, 麻布警察署 一之橋交番,,
窃盗,部品ねらい,麻布,一之橋交番,131032,東京都,港区,東麻布２丁目,2022/5/27,23,駐車（輪）場,駐車（輪）場,その他,港区東麻布２丁目,35.6567525,139.741306, 麻布警察署 一之橋交番,,
窃盗,部品ねらい,麻布,六本木交番,131032,東京都,港区,六本木６丁目,2022/7/29,5,その他,その他,その他,港区六本木６丁目,35.66309665,139.72745609946662, 麻布警察署 六本木交番,,
窃盗,部品ねらい,赤坂,表参道交番,131032,東京都,港区,南青山４丁目,2022/2/23,18,一戸建住宅,その他,その他,港区南青山４丁目,35.6648299,139.7183382, 赤坂警察署 表参道交番,35.66546,139.712355
窃盗,部品ねらい,赤坂,赤坂五丁目交番,131032,東京都,港区,赤坂１丁目,2022/3/28,16,４階建て以上共同住宅,駐車（輪）場,その他,港区赤坂１丁目,35.6685017,139.7425371, 赤坂警察署 赤坂五丁目交番,,
窃盗,部品ねらい,赤坂,赤坂五丁目交番,131032,東京都,港区,赤坂５丁目,2022/8/27,15,道路上,その他,その他,港区赤坂５丁目,35.6722604,139.7346246, 赤坂警察署 赤坂五丁目交番,,
窃盗,部品ねらい,赤坂,青山一丁目交番,131032,東京都,港区,南青山１丁目,2022/10/29,22,駐車（輪）場,駐車（輪）場,ナンバープレート,港区南青山１丁目,35.6697677,139.7255534, 赤坂警察署 青山一丁目交番,,
窃盗,部品ねらい,東京湾岸,お台場海浜公園駅前交番,131032,東京都,港区,台場１丁目,2022/12/16,14,４階建て以上共同住宅,駐車（輪）場,その他,港区台場１丁目,35.6308488,139.7783151, 東京湾岸警察署 お台場海浜公園駅前交番,,
窃盗,部品ねらい,東京湾岸,辰巳交番,131083,東京都,江東区,辰巳１丁目,2022/1/11,13,４階建て以上共同住宅,駐車（輪）場,その他,江東区辰巳１丁目,35.648179,139.809024, 東京湾岸警察署 辰巳交番,35.649427,139.8116273
窃盗,部品ねらい,東京湾岸,辰巳交番,131083,東京都,江東区,辰巳１丁目,2022/12/16,12,４階建て以上共同住宅,駐車（輪）場,その他,江東区辰巳１丁目,35.648179,139.809024, 東京湾岸警察署 辰巳交番,35.649427,139.8116273
窃盗,部品ねらい,東京湾岸,辰巳交番,131083,東京都,江東区,辰巳３丁目,2022/12/6,17,その他,駐車（輪）場,その他,江東区辰巳３丁目,35.64359,139.81579, 東京湾岸警察署 辰巳交番,35.649427,139.8116273
窃盗,部品ねらい,東京湾岸,都橋交番,131083,東京都,江東区,有明３丁目,2022/7/16,9,その他,駐車（輪）場,その他,江東区有明３丁目,35.629417,139.796671, 東京湾岸警察署 都橋交番,,
窃盗,部品ねらい,東京湾岸,都橋交番,131083,東京都,江東区,有明４丁目,2022/8/11,16,その他,駐車（輪）場,その他,江東区有明４丁目,35.620798,139.792118, 東京湾岸警察署 都橋交番,,
窃盗,部品ねらい,東京湾岸,都橋交番,131083,東京都,江東区,東雲１丁目,2022/6/14,20,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール,江東区東雲１丁目,35.648418,139.801826, 東京湾岸警察署 都橋交番,,
窃盗,部品ねらい,東京湾岸,都橋交番,131083,東京都,江東区,東雲１丁目,2022/7/20,20,その他,駐車（輪）場,その他,江東区東雲１丁目,35.648418,139.801826, 東京湾岸警察署 都橋交番,,
窃盗,部品ねらい,東京湾岸,都橋交番,131083,東京都,江東区,東雲１丁目,2022/10/12,5,４階建て以上共同住宅,その他,その他,江東区東雲１丁目,35.648418,139.801826, 東京湾岸警察署 都橋交番,,
窃盗,部品ねらい,東京湾岸,都橋交番,131083,東京都,江東区,東雲１丁目,2022/10/15,17,駐車（輪）場,駐車（輪）場,その他,江東区東雲１丁目,35.648418,139.801826, 東京湾岸警察署 都橋交番,,
窃盗,部品ねらい,品川,台場交番,131091,東京都,品川区,北品川１丁目,2022/3/23,8,駐車（輪）場,駐車（輪）場,その他,品川区北品川１丁目,35.6222567,139.7401017, 品川警察署 台場交番,35.6208548,139.7421468
窃盗,部品ねらい,品川,台場交番,131091,東京都,品川区,東品川１丁目,2022/7/19,11,その他の住宅（３階建て以下共同住宅等）,その他,その他,品川区東品川１丁目,35.6206661,139.7456149, 品川警察署 台場交番,35.6208548,139.7421468
窃盗,部品ねらい,品川,御殿山交番,131091,東京都,品川区,北品川４丁目,2022/7/22,18,道路上,その他,その他,品川区北品川４丁目,35.6203413,139.7364753, 品川警察署 御殿山交番,35.6231877,139.7351861
窃盗,部品ねらい,品川,御殿山交番,131091,東京都,品川区,北品川６丁目,2022/8/22,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート,品川区北品川６丁目,35.6248698,139.7326988, 品川警察署 御殿山交番,35.6231877,139.7351861
窃盗,部品ねらい,大井,八潮団地交番,131091,東京都,品川区,八潮５丁目,2022/3/31,0,４階建て以上共同住宅,駐車（輪）場,その他,品川区八潮５丁目,35.6012413,139.7525901, 大井警察署 八潮団地交番,,
窃盗,部品ねらい,大井,八潮団地交番,131091,東京都,品川区,八潮５丁目,2022/5/8,10,駐車（輪）場,駐車（輪）場,その他,品川区八潮５丁目,35.6012413,139.7525901, 大井警察署 八潮団地交番,,
窃盗,部品ねらい,大井,八潮団地交番,131091,東京都,品川区,八潮５丁目,2022/6/11,6,４階建て以上共同住宅,駐車（輪）場,その他,品川区八潮５丁目,35.6012413,139.7525901, 大井警察署 八潮団地交番,,
窃盗,部品ねらい,大井,八潮団地交番,131091,東京都,品川区,八潮５丁目,2022/8/4,14,駐車（輪）場,駐車（輪）場,ナンバープレート,品川区八潮５丁目,35.6012413,139.7525901, 大井警察署 八潮団地交番,,
窃盗,部品ねらい,大井,八潮団地交番,131091,東京都,品川区,八潮５丁目,2022/9/10,14,４階建て以上共同住宅,駐車（輪）場,ナンバープレート,品川区八潮５丁目,35.6012413,139.7525901, 大井警察署 八潮団地交番,,
窃盗,部品ねらい,大井,八潮団地交番,131091,東京都,品川区,八潮５丁目,2022/9/16,14,４階建て以上共同住宅,駐車（輪）場,ナンバープレート,品川区八潮５丁目,35.6012413,139.7525901, 大井警察署 八潮団地交番,,
窃盗,部品ねらい,大井,南大井交番,131091,東京都,品川区,南大井６丁目,2022/3/16,11,駐車（輪）場,駐車（輪）場,タイヤ・ホイール,品川区南大井６丁目,35.5905478,139.7318083, 大井警察署 南大井交番,35.5903612,139.733432
窃盗,部品ねらい,大井,南大井交番,131091,東京都,品川区,南大井６丁目,2022/12/9,7,その他,駐車（輪）場,その他,品川区南大井６丁目,35.5905478,139.7318083, 大井警察署 南大井交番,35.5903612,139.733432
窃盗,部品ねらい,大井,大井町駅前交番,131091,東京都,品川区,大井１丁目,2022/5/18,13,その他,駐車（輪）場,その他,品川区大井１丁目,35.6058897,139.7328798, 大井警察署 大井町駅前交番,35.606158,139.734639
窃盗,部品ねらい,大井,大井町駅前交番,131091,東京都,品川区,大井１丁目,2022/6/3,15,駐車（輪）場,駐車（輪）場,その他,品川区大井１丁目,35.6058897,139.7328798, 大井警察署 大井町駅前交番,35.606158,139.734639
窃盗,部品ねらい,大井,大井町駅前交番,131091,東京都,品川区,東大井５丁目,2022/1/5,14,その他,駐車（輪）場,その他,品川区東大井５丁目,35.6064611,139.7370252, 大井警察署 大井町駅前交番,35.606158,139.734639
窃盗,部品ねらい,大井,大井町駅前交番,131091,東京都,品川区,東大井５丁目,2022/10/15,4,駐車（輪）場,駐車（輪）場,その他,品川区東大井５丁目,35.6064611,139.7370252, 大井警察署 大井町駅前交番,35.606158,139.734639
窃盗,部品ねらい,大井,立会川交番,131091,東京都,品川区,勝島３丁目,2021/12/28,15,その他,駐車（輪）場,その他,品川区勝島３丁目,35.5922491,139.7390825, 大井警察署 立会川交番,35.596924,139.73757827778093
窃盗,部品ねらい,大井,西大井駅前交番,131091,東京都,品川区,西大井１丁目,2022/6/19,11,駐車（輪）場,駐車（輪）場,その他,品川区西大井１丁目,35.6019662,139.72469, 大井警察署 西大井駅前交番,35.6020618,139.7219318
窃盗,部品ねらい,大井,西大井駅前交番,131091,東京都,品川区,西大井４丁目,2022/11/22,18,４階建て以上共同住宅,駐車（輪）場,その他,品川区西大井４丁目,35.5949776,139.7196552, 大井警察署 西大井駅前交番,35.6020618,139.7219318
窃盗,部品ねらい,大井,西大井駅前交番,131091,東京都,品川区,西大井６丁目,2022/6/5,17,その他,その他,その他,品川区西大井６丁目,35.60084,139.7174397, 大井警察署 西大井駅前交番,35.6020618,139.7219318
窃盗,部品ねらい,大崎,中原口交番,131091,東京都,品川区,西五反田７丁目,2022/7/29,8,駐車（輪）場,駐車（輪）場,その他,品川区西五反田７丁目,35.621593,139.7197466, 大崎警察署 中原口交番,35.6221107,139.7198999
窃盗,部品ねらい,大崎,五反田駅前交番,131091,東京都,品川区,東五反田２丁目,2022/12/24,11,駐車（輪）場,駐車（輪）場,その他,品川区東五反田２丁目,35.624256,139.7288378, 大崎警察署 五反田駅前交番,,
窃盗,部品ねらい,大崎,大崎駅前交番,131091,東京都,品川区,大崎２丁目,2022/6/26,11,道路上,その他,その他,品川区大崎２丁目,35.6177139,139.7268409, 大崎警察署 大崎駅前交番,35.6193896,139.7294355
窃盗,部品ねらい,大崎,西五反田交番,131091,東京都,品川区,西五反田４丁目,2022/2/21,5,駐車（輪）場,駐車（輪）場,ナンバープレート,品川区西五反田４丁目,35.6260732,139.7109689, 大崎警察署 西五反田交番,35.6276288,139.7139904
窃盗,部品ねらい,荏原,二葉町交番,131091,東京都,品川区,豊町４丁目,2022/7/8,9,一戸建住宅,駐車（輪）場,その他,品川区豊町４丁目,35.6060871,139.7219874, 荏原警察署 二葉町交番,,
窃盗,部品ねらい,荏原,二葉町交番,131091,東京都,品川区,豊町４丁目,2022/7/8,11,一戸建住宅,駐車（輪）場,その他,品川区豊町４丁目,35.6060871,139.7219874, 荏原警察署 二葉町交番,,
窃盗,部品ねらい,荏原,旗の台交番,131091,東京都,品川区,旗の台３丁目,2022/5/7,0,道路上,その他,その他,品川区旗の台３丁目,35.6052322,139.7059438, 荏原警察署 旗の台交番,35.6053369,139.7000221
窃盗,部品ねらい,荏原,旗の台交番,131091,東京都,品川区,旗の台５丁目,2022/7/2,17,駐車（輪）場,駐車（輪）場,その他,品川区旗の台５丁目,35.6032324,139.701266, 荏原警察署 旗の台交番,35.6053369,139.7000221
窃盗,部品ねらい,荏原,旗の台交番,131091,東京都,品川区,旗の台５丁目,2022/9/18,16,駐車（輪）場,駐車（輪）場,その他,品川区旗の台５丁目,35.6032324,139.701266, 荏原警察署 旗の台交番,35.6053369,139.7000221
窃盗,部品ねらい,荏原,武蔵小山交番,131091,東京都,品川区,小山５丁目,2022/4/12,12,駐車（輪）場,駐車（輪）場,その他,品川区小山５丁目,35.6164198,139.70173, 荏原警察署 武蔵小山交番,35.6196516,139.7029386
窃盗,部品ねらい,荏原,江戸見坂交番,131091,東京都,品川区,荏原５丁目,2022/4/12,8,その他の住宅（３階建て以下共同住宅等）,その他,その他,品川区荏原５丁目,35.6145163,139.7030175, 荏原警察署 江戸見坂交番,35.6122273,139.700573
窃盗,部品ねらい,荏原,江戸見坂交番,131091,東京都,品川区,小山５丁目,2022/4/9,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他,品川区小山５丁目,35.6164198,139.70173, 荏原警察署 江戸見坂交番,35.6122273,139.700573
窃盗,部品ねらい,荏原,江戸見坂交番,131091,東京都,品川区,小山５丁目,2022/10/21,19,４階建て以上共同住宅,駐車（輪）場,その他,品川区小山５丁目,35.6164198,139.70173, 荏原警察署 江戸見坂交番,35.6122273,139.700573
窃盗,部品ねらい,荏原,江戸見坂交番,131091,東京都,品川区,小山６丁目,2022/9/25,11,駐車（輪）場,駐車（輪）場,その他,品川区小山６丁目,35.614066,139.6986119, 荏原警察署 江戸見坂交番,35.6122273,139.700573
窃盗,部品ねらい,荏原,源氏前交番,131091,東京都,品川区,中延６丁目,2022/7/28,0,４階建て以上共同住宅,駐車（輪）場,その他,品川区中延６丁目,35.6023045,139.7117011, 荏原警察署 源氏前交番,35.6019323,139.7127704
窃盗,部品ねらい,荏原,源氏前交番,131091,東京都,品川区,旗の台３丁目,2022/8/29,23,４階建て以上共同住宅,その他,その他,品川区旗の台３丁目,35.6052322,139.7059438, 荏原警察署 源氏前交番,35.6019323,139.7127704
窃盗,部品ねらい,荏原,豊町交番,131091,東京都,品川区,東中延２丁目,2022/6/23,8,その他,駐車（輪）場,その他,品川区東中延２丁目,35.6077629,139.7132018, 荏原警察署 豊町交番,35.6065606,139.7180903
窃盗,部品ねらい,荏原,豊町交番,131091,東京都,品川区,二葉３丁目,2022/12/9,19,道路上,その他,その他,品川区二葉３丁目,35.6035072,139.7205859, 荏原警察署 豊町交番,35.6065606,139.7180903
窃盗,部品ねらい,荏原,豊町交番,131091,東京都,品川区,豊町６丁目,2022/4/11,10,その他の住宅（３階建て以下共同住宅等）,その他,その他,品川区豊町６丁目,35.6048975,139.7161407, 荏原警察署 豊町交番,35.6065606,139.7180903
窃盗,部品ねらい,大森,大森海岸交番,131113,東京都,大田区,大森東１丁目,2022/1/31,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他,大田区大森東１丁目,35.5764409,139.7387137, 大森警察署 大森海岸交番,35.5816547,139.7367127
窃盗,部品ねらい,大森,大森海岸交番,131113,東京都,大田区,大森東１丁目,2022/3/23,11,４階建て以上共同住宅,駐車（輪）場,その他,大田区大森東１丁目,35.5764409,139.7387137, 大森警察署 大森海岸交番,35.5816547,139.7367127
窃盗,部品ねらい,大森,大森海岸交番,131113,東京都,大田区,平和島１丁目,2022/11/18,22,その他,駐車（輪）場,その他,大田区平和島１丁目,35.5858778,139.7406596, 大森警察署 大森海岸交番,35.5816547,139.7367127
窃盗,部品ねらい,大森,大森西交番,131113,東京都,大田区,大森西２丁目,2022/5/12,11,一戸建住宅,その他,その他,大田区大森西２丁目,35.5772208,139.7308977, 大森警察署 大森西交番,35.56984625,139.7234714109598
窃盗,部品ねらい,大森,大森西交番,131113,東京都,大田区,大森西３丁目,2022/12/10,12,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール,大田区大森西３丁目,35.5734358,139.7295043, 大森警察署 大森西交番,35.56984625,139.7234714109598
窃盗,部品ねらい,大森,大森西交番,131113,東京都,大田区,大森西６丁目,2022/4/23,15,道路上,その他,その他,大田区大森西６丁目,35.5686372,139.726869, 大森警察署 大森西交番,35.56984625,139.7234714109598
窃盗,部品ねらい,大森,大森駅前交番,131113,東京都,大田区,大森北１丁目,2022/7/10,7,駐車（輪）場,駐車（輪）場,その他,大田区大森北１丁目,35.5872258,139.7296974, 大森警察署 大森駅前交番,35.588659,139.7286341
窃盗,部品ねらい,大森,大森駅前交番,131113,東京都,大田区,大森北２丁目,2022/2/26,9,その他,駐車（輪）場,ナンバープレート,大田区大森北２丁目,35.5857142,139.7337918, 大森警察署 大森駅前交番,35.588659,139.7286341
窃盗,部品ねらい,大森,山王交番,131113,東京都,大田区,山王２丁目,2022/11/3,10,駐車（輪）場,駐車（輪）場,その他,大田区山王２丁目,35.5892009,139.7253817, 大森警察署 山王交番,35.59114,139.7261355
窃盗,部品ねらい,大森,春日橋交番,131113,東京都,大田区,中央３丁目,2022/5/2,10,一戸建住宅,駐車（輪）場,その他,大田区中央３丁目,35.5764388,139.7194849, 大森警察署 春日橋交番,35.5810944,139.7217032
窃盗,部品ねらい,大森,谷戸交番,131113,東京都,大田区,大森西３丁目,2022/5/12,8,４階建て以上共同住宅,その他,その他,大田区大森西３丁目,35.5734358,139.7295043, 大森警察署 谷戸交番,35.5689439,139.7297196
窃盗,部品ねらい,田園調布,丸子橋交番,131113,東京都,大田区,田園調布南,2022/6/5,18,４階建て以上共同住宅,駐車（輪）場,ナンバープレート,大田区田園調布南,35.5801473,139.6744359, 田園調布警察署 丸子橋交番,35.5860576,139.6699667
窃盗,部品ねらい,田園調布,多摩川台駐在所,131113,東京都,大田区,田園調布５丁目,2022/1/29,16,一戸建住宅,駐車（輪）場,ナンバープレート,大田区田園調布５丁目,35.5946733,139.6576747, 田園調布警察署 多摩川台駐在所,35.5957188,139.6610204
窃盗,部品ねらい,田園調布,大岡山駅前交番,131113,東京都,大田区,石川町１丁目,2022/12/7,15,その他,駐車（輪）場,その他,大田区石川町１丁目,35.6027101,139.6826152, 田園調布警察署 大岡山駅前交番,35.6074604,139.6853122
窃盗,部品ねらい,田園調布,洗足池交番,131113,東京都,大田区,上池台１丁目,2022/3/4,20,その他の住宅（３階建て以下共同住宅等）,その他,その他,大田区上池台１丁目,35.60102,139.698215, 田園調布警察署 洗足池交番,,
窃盗,部品ねらい,田園調布,洗足池交番,131113,東京都,大田区,上池台２丁目,2022/8/29,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他,大田区上池台２丁目,35.5990789,139.6938591, 田園調布警察署 洗足池交番,,
窃盗,部品ねらい,田園調布,洗足池交番,131113,東京都,大田区,上池台４丁目,2022/7/29,19,４階建て以上共同住宅,駐車（輪）場,その他,大田区上池台４丁目,35.5975774,139.7003996, 田園調布警察署 洗足池交番,,
窃盗,部品ねらい,田園調布,洗足池交番,131113,東京都,大田区,東雪谷２丁目,2022/3/31,10,道路上,その他,その他,大田区東雪谷２丁目,35.5966265,139.6860123, 田園調布警察署 洗足池交番,,
窃盗,部品ねらい,田園調布,道々橋交番,131113,東京都,大田区,仲池上２丁目,2022/5/22,20,４階建て以上共同住宅,駐車（輪）場,その他,大田区仲池上２丁目,35.5829646,139.7011815, 田園調布警察署 道々橋交番,35.5881248,139.6965528
窃盗,部品ねらい,田園調布,道々橋交番,131113,東京都,大田区,南雪谷５丁目,2022/12/8,20,その他,駐車（輪）場,その他,大田区南雪谷５丁目,35.5890722,139.6886127, 田園調布警察署 道々橋交番,35.5881248,139.6965528
窃盗,部品ねらい,田園調布,鵜の木駅前交番,131113,東京都,大田区,鵜の木２丁目,2022/2/12,16,４階建て以上共同住宅,駐車（輪）場,その他,大田区鵜の木２丁目,35.5739916,139.6781594, 田園調布警察署 鵜の木駅前交番,35.575387,139.681445
