罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金以外の主な被害品
窃盗,部品ねらい,深川,枝川交番,131083,東京都,江東区,枝川１丁目,2020-09-05,22,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,深川,枝川交番,131083,東京都,江東区,越中島３丁目,2020-03-02,16,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,深川,清澄庭園前交番,131083,東京都,江東区,清澄１丁目,2020-05-25,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,深川,清澄庭園前交番,131083,東京都,江東区,冬木,2020-02-24,12,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,麹町,麹町四丁目交番,131016,東京都,千代田区,麹町１丁目,2020-11-10,20,道路上,その他,タイヤ・ホイール
窃盗,部品ねらい,麹町,麹町四丁目交番,131016,東京都,千代田区,麹町３丁目,2020-01-25,11,道路上,その他,その他
窃盗,部品ねらい,麹町,五味坂交番,131016,東京都,千代田区,三番町,2020-03-21,15,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,丸の内,日比谷公園前交番,131016,東京都,千代田区,有楽町１丁目,2020-07-07,13,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,丸の内,有楽町駅前交番,131016,東京都,千代田区,丸の内３丁目,2020-08-28,21,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,丸の内,八重洲口交番,131016,東京都,千代田区,大手町２丁目,2020-06-08,09,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,神田,水道橋駅前交番,131016,東京都,千代田区,神田三崎町２丁目,2020-07-19,21,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,万世橋,美倉橋交番,131016,東京都,千代田区,東神田１丁目,2020-03-23,20,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,万世橋,秋葉原交番,131016,東京都,千代田区,神田相生町,2020-05-04,11,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,万世橋,秋葉原交番,131016,東京都,千代田区,外神田１丁目,2020-05-17,11,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,万世橋,秋葉原交番,131016,東京都,千代田区,外神田３丁目,2020-06-26,18,道路上,その他,その他
窃盗,部品ねらい,久松,水天宮前交番,131024,東京都,中央区,日本橋蛎殻町１丁目,2020-07-21,21,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,久松,問屋橋交番,131024,東京都,中央区,日本橋人形町３丁目,2020-07-22,15,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,築地,数寄屋橋交番,131024,東京都,中央区,銀座４丁目,2020-01-20,10,道路上,その他,その他
窃盗,部品ねらい,築地,銀座八丁目交番,131024,東京都,中央区,銀座８丁目,2020-05-06,13,道路上,その他,その他
窃盗,部品ねらい,築地,銀座八丁目交番,131024,東京都,中央区,銀座８丁目,2020-07-28,09,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,築地,銀座八丁目交番,131024,東京都,中央区,銀座８丁目,2020-11-15,23,道路上,その他,ナンバープレート
窃盗,部品ねらい,築地,中央市場交番,131024,東京都,中央区,築地５丁目,2020-06-15,12,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,月島,佃交番,131024,東京都,中央区,月島４丁目,2020-10-04,15,道路上,その他,タイヤ・ホイール
窃盗,部品ねらい,月島,佃交番,131024,東京都,中央区,佃２丁目,2020-05-08,23,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,月島,勝どき橋交番,131024,東京都,中央区,勝どき１丁目,2020-05-29,08,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,愛宕,新橋駅前交番,131032,東京都,港区,新橋１丁目,2020-03-05,08,道路上,その他,ナンバープレート
窃盗,部品ねらい,愛宕,東新橋交番,131032,東京都,港区,東新橋１丁目,2020-03-06,18,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,三田,三田綱町交番,131032,東京都,港区,三田５丁目,2020-05-16,20,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,三田,田町駅東口交番,131032,東京都,港区,芝浦１丁目,2020-07-19,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,三田,田町駅東口交番,131032,東京都,港区,芝浦２丁目,2020-10-20,23,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,三田,田町駅東口交番,131032,東京都,港区,芝浦３丁目,2020-01-25,10,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,三田,田町駅東口交番,131032,東京都,港区,芝浦４丁目,2020-08-31,23,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,三田,田町駅東口交番,131032,東京都,港区,芝浦４丁目,2020-09-18,23,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,三田,芝四丁目交番,131032,東京都,港区,芝１丁目,2020-10-12,00,その他,その他,ナンバープレート
窃盗,部品ねらい,三田,芝四丁目交番,131032,東京都,港区,芝２丁目,2020-08-21,12,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,高輪,白金三光町交番,131032,東京都,港区,白金６丁目,2020-11-11,11,その他,その他,その他
窃盗,部品ねらい,高輪,清正公前交番,131032,東京都,港区,白金１丁目,2020-03-13,09,道路上,その他,タイヤ・ホイール
窃盗,部品ねらい,麻布,一之橋交番,131032,東京都,港区,麻布十番４丁目,2018-05-01,不明,道路上,その他,ナンバープレート
窃盗,部品ねらい,麻布,盛岡町交番,131032,東京都,港区,南麻布２丁目,2020-05-05,15,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,麻布,盛岡町交番,131032,東京都,港区,南麻布４丁目,2020-04-26,20,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,東京湾岸,第五台場交番,131032,東京都,港区,港南５丁目,2020-10-03,15,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東京湾岸,第五台場交番,131032,東京都,港区,港南５丁目,2020-10-03,16,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東京湾岸,第五台場交番,131032,東京都,港区,港南５丁目,2020-10-04,19,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東京湾岸,第五台場交番,131091,東京都,品川区,八潮２丁目,2020-06-05,17,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,東京湾岸,第五台場交番,131091,東京都,品川区,八潮３丁目,2020-02-27,18,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東京湾岸,第五台場交番,131091,東京都,品川区,八潮３丁目,2020-05-12,16,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,東京湾岸,大田市場前交番,131113,東京都,大田区,東海３丁目,2020-01-25,06,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東京湾岸,大田市場前交番,131113,東京都,大田区,東海５丁目,2020-10-17,15,その他,駐車（輪）場,その他
窃盗,部品ねらい,東京湾岸,お台場海浜公園駅前交番,131032,東京都,港区,台場１丁目,2020-10-31,15,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東京湾岸,都橋交番,131083,東京都,江東区,有明３丁目,2020-06-14,13,その他,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,東京湾岸,都橋交番,131083,東京都,江東区,有明４丁目,2020-04-06,17,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東京湾岸,都橋交番,131083,東京都,江東区,東雲１丁目,2020-02-06,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,東京湾岸,都橋交番,131083,東京都,江東区,東雲１丁目,2020-02-06,23,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,東京湾岸,都橋交番,131083,東京都,江東区,東雲１丁目,2020-02-09,13,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,東京湾岸,都橋交番,131083,東京都,江東区,東雲１丁目,2020-06-01,不明,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東京湾岸,辰巳交番,131083,東京都,江東区,辰巳１丁目,2020-06-26,10,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,東京湾岸,辰巳交番,131083,東京都,江東区,辰巳２丁目,2020-08-21,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,東京湾岸,辰巳交番,131083,東京都,江東区,辰巳３丁目,2019-12-28,17,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,東京湾岸,辰巳交番,131083,東京都,江東区,辰巳３丁目,2020-02-09,22,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,東京湾岸,新木場駅前交番,131113,東京都,大田区,城南島６丁目,2020-09-04,15,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,品川,台場交番,131091,東京都,品川区,北品川１丁目,2020-03-30,06,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,品川,台場交番,131091,東京都,品川区,北品川１丁目,2020-07-16,19,４階建て以上共同住宅,その他,その他
窃盗,部品ねらい,品川,台場交番,131091,東京都,品川区,東品川１丁目,2020-09-27,16,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,品川,台場交番,131091,東京都,品川区,東品川１丁目,2020-09-28,20,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,品川,御殿山交番,131091,東京都,品川区,北品川３丁目,2020-11-07,16,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,品川,三ツ木交番,131091,東京都,品川区,西品川２丁目,2020-10-14,17,道路上,その他,その他
窃盗,部品ねらい,品川,三ツ木交番,131091,東京都,品川区,西品川３丁目,2020-05-24,14,道路上,その他,その他
窃盗,部品ねらい,品川,青物横丁駅前交番,131091,東京都,品川区,南品川４丁目,2020-05-02,11,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,品川,青物横丁駅前交番,131091,東京都,品川区,南品川４丁目,2020-09-02,20,道路上,その他,タイヤ・ホイール
窃盗,部品ねらい,品川,青物横丁駅前交番,131091,東京都,品川区,南品川４丁目,2020-11-07,13,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,品川,青物横丁駅前交番,131091,東京都,品川区,南品川６丁目,2020-11-23,20,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,品川,天王洲交番,131091,東京都,品川区,東品川１丁目,2020-11-07,07,道路上,その他,その他
窃盗,部品ねらい,大井,立会川交番,131091,東京都,品川区,東大井１丁目,2020-06-15,10,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大井,立会川交番,131091,東京都,品川区,東大井１丁目,2020-09-27,11,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大井,南大井交番,131091,東京都,品川区,南大井３丁目,2020-10-15,10,その他,駐車（輪）場,その他
窃盗,部品ねらい,大井,南大井交番,131091,東京都,品川区,南大井６丁目,2020-02-20,17,その他,駐車（輪）場,その他
窃盗,部品ねらい,大井,西大井駅前交番,131091,東京都,品川区,西大井１丁目,2020-02-07,12,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大井,西大井駅前交番,131091,東京都,品川区,西大井５丁目,2020-01-30,19,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,大井,西大井駅前交番,131091,東京都,品川区,西大井５丁目,2020-06-18,14,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,大井,西大井駅前交番,131091,東京都,品川区,西大井５丁目,2020-06-29,19,その他の住宅（３階建て以下共同住宅等）,その他,ナンバープレート
窃盗,部品ねらい,大井,西大井駅前交番,131091,東京都,品川区,西大井６丁目,2020-10-16,19,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,大井,八潮団地交番,131091,東京都,品川区,八潮５丁目,2020-01-25,16,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,大井,八潮団地交番,131091,東京都,品川区,八潮５丁目,2020-05-11,19,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,大崎,五反田駅前交番,131091,東京都,品川区,西五反田２丁目,2020-10-28,18,道路上,その他,その他
窃盗,部品ねらい,大崎,五反田駅前交番,131091,東京都,品川区,西五反田２丁目,2020-12-10,00,道路上,その他,その他
窃盗,部品ねらい,大崎,五反田駅前交番,131091,東京都,品川区,西五反田６丁目,2019-09-01,00,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大崎,五反田駅前交番,131091,東京都,品川区,東五反田２丁目,2020-02-04,19,その他,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大崎,大崎駅前交番,131091,東京都,品川区,大崎１丁目,2020-09-02,10,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,大崎,大崎駅前交番,131091,東京都,品川区,大崎３丁目,2020-11-18,20,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,大崎,西五反田交番,131091,東京都,品川区,小山１丁目,2020-10-24,13,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,荏原,荏原中延駅前交番,131091,東京都,品川区,東中延１丁目,2020-07-06,20,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,荏原,平塚橋交番,131091,東京都,品川区,荏原２丁目,2020-09-30,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,荏原,平塚橋交番,131091,東京都,品川区,荏原２丁目,2020-11-08,09,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,荏原,戸越交番,131091,東京都,品川区,戸越１丁目,2020-10-13,20,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,荏原,戸越交番,131091,東京都,品川区,戸越１丁目,2020-10-14,17,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,荏原,戸越交番,131091,東京都,品川区,戸越１丁目,2020-10-14,18,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,荏原,戸越交番,131091,東京都,品川区,戸越１丁目,2020-10-14,20,道路上,その他,その他
窃盗,部品ねらい,荏原,戸越交番,131091,東京都,品川区,戸越１丁目,2020-10-24,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,荏原,戸越交番,131091,東京都,品川区,戸越３丁目,2020-08-03,19,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,荏原,宮前交番,131091,東京都,品川区,豊町１丁目,2020-02-29,18,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,荏原,豊町交番,131091,東京都,品川区,豊町３丁目,2020-07-26,19,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,荏原,豊町交番,131091,東京都,品川区,豊町６丁目,2020-05-01,17,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,荏原,豊町交番,131091,東京都,品川区,豊町６丁目,2020-05-08,18,一戸建住宅,その他,その他
窃盗,部品ねらい,荏原,源氏前交番,131091,東京都,品川区,中延４丁目,2020-06-08,16,一戸建住宅,その他,その他
窃盗,部品ねらい,荏原,源氏前交番,131091,東京都,品川区,西中延３丁目,2020-05-15,13,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,荏原,源氏前交番,131091,東京都,品川区,二葉４丁目,2020-05-15,19,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,荏原,源氏前交番,131091,東京都,品川区,豊町６丁目,2020-05-15,16,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,荏原,武蔵小山交番,131091,東京都,品川区,小山１丁目,2020-12-12,23,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,荏原,洗足駐在所,131091,東京都,品川区,旗の台６丁目,2020-09-25,17,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,大森,森ケ崎交番,131113,東京都,大田区,大森東５丁目,2020-07-23,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大森,森ケ崎交番,131113,東京都,大田区,大森東５丁目,2020-08-02,23,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,大森,森ケ崎交番,131113,東京都,大田区,大森東５丁目,2020-12-21,11,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,大森,森ケ崎交番,131113,東京都,大田区,大森南３丁目,2020-11-14,19,その他の住宅（３階建て以下共同住宅等）,その他,その他
窃盗,部品ねらい,大森,森ケ崎交番,131113,東京都,大田区,大森南５丁目,2020-02-16,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大森,谷戸交番,131113,東京都,大田区,大森西５丁目,2020-04-12,17,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大森,大森西交番,131113,東京都,大田区,大森中２丁目,2020-12-05,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,大森,大森西交番,131113,東京都,大田区,大森西２丁目,2020-07-01,00,道路上,その他,その他
窃盗,部品ねらい,大森,大森海岸交番,131113,東京都,大田区,大森北３丁目,2020-04-27,18,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,大森,大森海岸交番,131113,東京都,大田区,大森北６丁目,2020-08-03,07,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,大森,大森海岸交番,131113,東京都,大田区,大森東１丁目,2020-02-09,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,大森,大森海岸交番,131113,東京都,大田区,大森東１丁目,2020-03-06,07,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,大森,大森海岸交番,131113,東京都,大田区,大森東１丁目,2020-11-04,23,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大森,大森海岸交番,131113,東京都,大田区,大森本町１丁目,2020-12-03,18,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大森,大森海岸交番,131113,東京都,大田区,大森本町２丁目,2020-08-08,17,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,大森,大森海岸交番,131113,東京都,大田区,平和島６丁目,2020-03-02,11,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,大森,大森海岸交番,131113,東京都,大田区,ふるさとの浜辺公園,2020-02-24,13,その他,駐車（輪）場,その他
窃盗,部品ねらい,大森,大森駅前交番,131113,東京都,大田区,大森北２丁目,2020-08-20,14,その他,駐車（輪）場,その他
窃盗,部品ねらい,大森,春日橋交番,131113,東京都,大田区,中央３丁目,2020-05-12,19,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,大森,春日橋交番,131113,東京都,大田区,中央４丁目,2020-04-17,08,その他,駐車（輪）場,その他
窃盗,部品ねらい,大森,山王交番,131113,東京都,大田区,山王２丁目,2020-07-20,20,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,田園調布,石川台交番,131113,東京都,大田区,雪谷大塚町,2020-05-26,07,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,田園調布,田園調布駅前交番,131113,東京都,大田区,田園調布２丁目,2020-08-12,12,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,田園調布,田園調布駅前交番,131113,東京都,大田区,田園調布２丁目,2020-10-06,09,道路上,その他,その他
窃盗,部品ねらい,田園調布,田園調布駅前交番,131113,東京都,大田区,田園調布５丁目,2020-09-15,22,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,田園調布,鵜の木駅前交番,131113,東京都,大田区,鵜の木３丁目,2020-12-19,22,一戸建住宅,その他,その他
窃盗,部品ねらい,田園調布,鵜の木駅前交番,131113,東京都,大田区,南久が原２丁目,2020-04-26,19,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,田園調布,道々橋交番,131113,東京都,大田区,上池台４丁目,2020-06-19,19,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,田園調布,中谷駐在所,131113,東京都,大田区,上池台３丁目,2020-06-28,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,田園調布,中谷駐在所,131113,東京都,大田区,上池台５丁目,2020-08-17,23,一戸建住宅,その他,その他
窃盗,部品ねらい,田園調布,小池駐在所,131113,東京都,大田区,上池台１丁目,2020-06-04,19,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,田園調布,嶺駐在所,131113,東京都,大田区,北嶺町,2020-01-20,10,道路上,その他,その他
窃盗,部品ねらい,蒲田,西蒲田交番,131113,東京都,大田区,池上５丁目,2020-08-29,22,その他,その他,その他
窃盗,部品ねらい,蒲田,西蒲田交番,131113,東京都,大田区,本羽田２丁目,2020-02-14,00,道路上,その他,タイヤ・ホイール
窃盗,部品ねらい,蒲田,京急蒲田駅前交番,131113,東京都,大田区,蒲田２丁目,2020-05-17,22,道路上,その他,その他
窃盗,部品ねらい,蒲田,京急蒲田駅前交番,131113,東京都,大田区,蒲田４丁目,2020-09-28,13,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,蒲田,蒲田駅東口交番,131113,東京都,大田区,蒲田５丁目,2020-01-16,08,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,蒲田,蒲田駅東口交番,131113,東京都,大田区,蒲田５丁目,2020-05-08,16,道路上,その他,その他
窃盗,部品ねらい,蒲田,蒲田駅東口交番,131113,東京都,大田区,蒲田５丁目,2020-09-17,18,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,蒲田,蒲田駅西口交番,131113,東京都,大田区,西蒲田５丁目,2020-01-31,08,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,蒲田,西六郷交番,131113,東京都,大田区,西六郷１丁目,2020-09-19,18,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,蒲田,東六郷交番,131113,東京都,大田区,仲六郷３丁目,2020-06-21,18,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,蒲田,東六郷交番,131113,東京都,大田区,仲六郷３丁目,2020-07-02,15,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,蒲田,東六郷交番,131113,東京都,大田区,南六郷１丁目,2020-12-05,12,４階建て以上共同住宅,その他,ナンバープレート
窃盗,部品ねらい,蒲田,東六郷交番,131113,東京都,大田区,南六郷２丁目,2020-10-13,17,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,蒲田,東六郷交番,131113,東京都,大田区,南六郷２丁目,2020-11-06,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,蒲田,日の出通交番,131113,東京都,大田区,西糀谷１丁目,2020-09-29,03,一戸建住宅,その他,その他
窃盗,部品ねらい,蒲田,日の出通交番,131113,東京都,大田区,萩中２丁目,2020-12-24,16,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,蒲田,日の出通交番,131113,東京都,大田区,南蒲田２丁目,2020-02-03,08,その他,駐車（輪）場,その他
窃盗,部品ねらい,蒲田,本羽田交番,131113,東京都,大田区,南六郷１丁目,2019-11-21,不明,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,蒲田,本羽田交番,131113,東京都,大田区,南六郷１丁目,2020-01-04,22,一戸建住宅,その他,その他
窃盗,部品ねらい,蒲田,大鳥居交番,131113,東京都,大田区,羽田４丁目,2020-12-02,08,その他,その他,その他
窃盗,部品ねらい,蒲田,大鳥居交番,131113,東京都,大田区,東糀谷３丁目,2020-09-06,15,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,蒲田,大鳥居交番,131113,東京都,大田区,東糀谷３丁目,2020-11-03,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,蒲田,大鳥居交番,131113,東京都,大田区,本羽田３丁目,2020-09-15,21,その他,駐車（輪）場,その他
窃盗,部品ねらい,蒲田,北糀谷交番,131113,東京都,大田区,東糀谷６丁目,2020-03-20,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,池上,市野倉交番,131113,東京都,大田区,中央６丁目,2020-07-31,12,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,池上,三本松交番,131113,東京都,大田区,東馬込１丁目,2020-07-27,19,道路上,その他,ナンバープレート
窃盗,部品ねらい,池上,三本松交番,131113,東京都,大田区,東馬込１丁目,2020-11-01,12,一戸建住宅,その他,その他
窃盗,部品ねらい,池上,池上駅前交番,131113,東京都,大田区,池上３丁目,2020-02-03,08,道路上,その他,その他
窃盗,部品ねらい,池上,池上駅前交番,131113,東京都,大田区,池上４丁目,2020-10-02,18,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,池上,池上駅前交番,131113,東京都,大田区,池上６丁目,2020-08-21,14,その他,駐車（輪）場,タイヤ・ホイール
