罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,現金被害の有無,name,latitude,longitude,police_office_name,police_office_latitude,police_office_longitude
窃盗,車上ねらい,中央,高橋交番,131024.0,東京都,中央区,新川２丁目,2022/4/7,1,道路上,その他,施錠せず,なし,中央区新川２丁目,35.674363,139.782664, 中央警察署 高橋交番,35.6745846,139.7806749
窃盗,車上ねらい,深川,住吉交番,131083.0,東京都,江東区,住吉２丁目,2022/8/28,19,道路上,その他,施錠せず,あり,江東区住吉２丁目,35.6884101,139.8163723, 深川警察署 住吉交番,35.6888427,139.815916
窃盗,車上ねらい,深川,千田交番,131083.0,東京都,江東区,千石３丁目,2022/3/12,18,駐車（輪）場,駐車（輪）場,施錠せず,なし,江東区千石３丁目,35.678053,139.818725, 深川警察署 千田交番,35.6806,139.815818
窃盗,車上ねらい,深川,東陽交番,131083.0,東京都,江東区,東陽４丁目,2021/12/30,12,その他,駐車（輪）場,施錠せず,あり,江東区東陽４丁目,35.671936,139.817849, 深川警察署 東陽交番,35.669157,139.812152
窃盗,車上ねらい,深川,東陽交番,131083.0,東京都,江東区,東陽４丁目,2022/11/18,19,その他,駐車（輪）場,施錠せず,なし,江東区東陽４丁目,35.671936,139.817849, 深川警察署 東陽交番,35.669157,139.812152
窃盗,車上ねらい,深川,東陽交番,131083.0,東京都,江東区,南砂２丁目,2022/11/30,12,その他,駐車（輪）場,施錠せず,なし,江東区南砂２丁目,35.672862,139.822903, 深川警察署 東陽交番,35.669157,139.812152
窃盗,車上ねらい,深川,枝川交番,131083.0,東京都,江東区,枝川１丁目,2022/11/11,12,その他の住宅（３階建て以下共同住宅等）,その他,施錠せず,あり,江東区枝川１丁目,35.656617,139.803432, 深川警察署 枝川交番,35.6582564,139.8025688
窃盗,車上ねらい,深川,森下交番,131083.0,東京都,江東区,白河４丁目,2022/6/24,18,その他,駐車（輪）場,施錠せず,なし,江東区白河４丁目,35.682886,139.808205, 深川警察署 森下交番,35.687988,139.800988
窃盗,車上ねらい,深川,森下交番,131083.0,東京都,江東区,森下３丁目,2022/11/17,16,その他,その他,施錠せず,あり,江東区森下３丁目,35.686279,139.801949, 深川警察署 森下交番,35.687988,139.800988
窃盗,車上ねらい,深川,森下交番,131083.0,東京都,江東区,森下３丁目,2022/11/28,16,その他,その他,施錠せず,あり,江東区森下３丁目,35.686279,139.801949, 深川警察署 森下交番,35.687988,139.800988
窃盗,車上ねらい,深川,森下交番,131083.0,東京都,江東区,森下４丁目,2021/11/11,7,道路上,その他,施錠せず,なし,江東区森下４丁目,35.686267,139.804854, 深川警察署 森下交番,35.687988,139.800988
窃盗,車上ねらい,深川,清澄庭園前交番,131083.0,東京都,江東区,平野２丁目,2022/3/9,18,その他,駐車（輪）場,施錠せず,なし,江東区平野２丁目,35.67761,139.802589, 深川警察署 清澄庭園前交番,35.6786139,139.7981005
窃盗,車上ねらい,深川,清澄庭園前交番,131083.0,東京都,江東区,平野２丁目,2022/8/8,13,その他,駐車（輪）場,施錠せず,なし,江東区平野２丁目,35.67761,139.802589, 深川警察署 清澄庭園前交番,35.6786139,139.7981005
窃盗,車上ねらい,深川,清澄庭園前交番,131083.0,東京都,江東区,深川１丁目,2022/7/1,12,その他,駐車（輪）場,施錠せず,なし,江東区深川１丁目,35.676523,139.795626, 深川警察署 清澄庭園前交番,35.6786139,139.7981005
窃盗,車上ねらい,深川,清澄庭園前交番,131083.0,東京都,江東区,深川１丁目,2022/10/23,11,道路上,その他,施錠せず,あり,江東区深川１丁目,35.676523,139.795626, 深川警察署 清澄庭園前交番,35.6786139,139.7981005
窃盗,車上ねらい,深川,現代美術館前交番,131083.0,東京都,江東区,白河２丁目,2022/7/23,1,道路上,その他,施錠せず,なし,江東区白河２丁目,35.682553,139.802297, 深川警察署 現代美術館前交番,,
窃盗,車上ねらい,深川,現代美術館前交番,131083.0,東京都,江東区,白河４丁目,2022/4/5,8,その他,その他,施錠せず,なし,江東区白河４丁目,35.682886,139.808205, 深川警察署 現代美術館前交番,,
窃盗,車上ねらい,深川,豊洲交番,131083.0,東京都,江東区,豊洲２丁目,2022/1/14,15,その他,その他,施錠した,あり,江東区豊洲２丁目,35.655271,139.792777, 深川警察署 豊洲交番,,
窃盗,車上ねらい,深川,門前仲町交番,131083.0,東京都,江東区,永代２丁目,2022/1/24,16,その他,駐車（輪）場,施錠せず,あり,江東区永代２丁目,35.673549,139.791586, 深川警察署 門前仲町交番,35.672684,139.794876
窃盗,車上ねらい,深川,門前仲町交番,131083.0,東京都,江東区,牡丹１丁目,2022/9/28,11,道路上,その他,施錠せず,あり,江東区牡丹１丁目,35.670547,139.793901, 深川警察署 門前仲町交番,35.672684,139.794876
窃盗,車上ねらい,深川,門前仲町交番,131083.0,東京都,江東区,門前仲町２丁目,2022/3/4,18,その他,駐車（輪）場,施錠せず,なし,江東区門前仲町２丁目,35.672524,139.795782, 深川警察署 門前仲町交番,35.672684,139.794876
窃盗,車上ねらい,深川,門前仲町交番,131083.0,東京都,江東区,門前仲町２丁目,2022/12/16,18,その他,駐車（輪）場,施錠せず,なし,江東区門前仲町２丁目,35.672524,139.795782, 深川警察署 門前仲町交番,35.672684,139.794876
窃盗,車上ねらい,麹町,市ケ谷見付交番,131016.0,東京都,千代田区,五番町,2022/11/10,11,駐車（輪）場,駐車（輪）場,施錠せず,なし,千代田区五番町,35.689685,139.733989, 麹町警察署 市ケ谷見付交番,35.6914785,139.7364224
窃盗,車上ねらい,丸の内,内幸町交番,131016.0,東京都,千代田区,霞が関１丁目,2022/5/17,11,その他,駐車（輪）場,施錠せず,あり,千代田区霞が関１丁目,35.673944,139.752558, 丸の内警察署 内幸町交番,35.6710568,139.75600955
窃盗,車上ねらい,丸の内,有楽町駅前交番,131016.0,東京都,千代田区,丸の内２丁目,2021/12/21,17,駐車（輪）場,駐車（輪）場,施錠せず,なし,千代田区丸の内２丁目,35.680022,139.763447, 丸の内警察署 有楽町駅前交番,35.673905,139.762572
窃盗,車上ねらい,丸の内,有楽町駅前交番,131016.0,東京都,千代田区,有楽町１丁目,2022/5/22,11,道路上,その他,施錠せず,なし,千代田区有楽町１丁目,35.674483,139.76055, 丸の内警察署 有楽町駅前交番,35.673905,139.762572
窃盗,車上ねらい,万世橋,岩本町交番,131016.0,東京都,千代田区,神田東松下町,2022/9/20,20,道路上,その他,施錠せず,なし,千代田区神田東松下町,35.6944834,139.7736525, 万世橋警察署 岩本町交番,35.6954079,139.77457479498068
窃盗,車上ねらい,万世橋,神田駅交番,131016.0,東京都,千代田区,内神田３丁目,2022/3/4,9,道路上,その他,施錠せず,あり,千代田区内神田３丁目,35.691019600000004,139.76970032237614, 万世橋警察署 神田駅交番,,
窃盗,車上ねらい,万世橋,神田駅交番,131016.0,東京都,千代田区,神田北乗物町,2022/3/17,8,道路上,その他,施錠せず,あり,千代田区神田北乗物町,35.692455,139.773897, 万世橋警察署 神田駅交番,,
窃盗,車上ねらい,万世橋,秋葉原交番,131016.0,東京都,千代田区,神田佐久間町１丁目,2022/2/3,19,その他,駐車（輪）場,施錠せず,あり,千代田区神田佐久間町１丁目,35.697979,139.774222, 万世橋警察署 秋葉原交番,,
窃盗,車上ねらい,万世橋,秋葉原交番,131016.0,東京都,千代田区,神田松永町,2022/12/12,11,道路上,その他,施錠せず,なし,千代田区神田松永町,35.70031,139.775293, 万世橋警察署 秋葉原交番,,
窃盗,車上ねらい,万世橋,秋葉原交番,131016.0,東京都,千代田区,外神田１丁目,2022/5/5,8,道路上,その他,施錠せず,なし,千代田区外神田１丁目,35.698406,139.770885, 万世橋警察署 秋葉原交番,,
窃盗,車上ねらい,万世橋,秋葉原交番,131016.0,東京都,千代田区,外神田２丁目,2022/8/27,1,道路上,その他,施錠せず,あり,千代田区外神田２丁目,35.700675,139.768552, 万世橋警察署 秋葉原交番,,
窃盗,車上ねらい,万世橋,秋葉原交番,131016.0,東京都,千代田区,外神田３丁目,2021/12/31,23,駐車（輪）場,駐車（輪）場,施錠せず,なし,千代田区外神田３丁目,35.701275,139.770496, 万世橋警察署 秋葉原交番,,
窃盗,車上ねらい,万世橋,秋葉原交番,131016.0,東京都,千代田区,外神田３丁目,2022/10/30,3,道路上,その他,施錠せず,なし,千代田区外神田３丁目,35.701275,139.770496, 万世橋警察署 秋葉原交番,,
窃盗,車上ねらい,万世橋,秋葉原交番,131016.0,東京都,千代田区,外神田４丁目,2022/6/16,19,その他,駐車（輪）場,施錠せず,なし,千代田区外神田４丁目,35.70143,139.77237, 万世橋警察署 秋葉原交番,,
窃盗,車上ねらい,万世橋,美倉橋交番,131016.0,東京都,千代田区,神田佐久間町２丁目,2022/3/9,13,駐車（輪）場,駐車（輪）場,施錠せず,あり,千代田区神田佐久間町２丁目,35.69806155,139.77618462153404, 万世橋警察署 美倉橋交番,35.6970293,139.7802289
窃盗,車上ねらい,久松,東日本橋交番,131024.0,東京都,中央区,日本橋浜町１丁目,2022/1/15,8,道路上,その他,施錠せず,あり,中央区日本橋浜町１丁目,35.690386,139.787383, 久松警察署 東日本橋交番,35.695671,139.784962
窃盗,車上ねらい,久松,東日本橋交番,131024.0,東京都,中央区,東日本橋２丁目,2022/4/9,12,道路上,その他,施錠せず,あり,中央区東日本橋２丁目,35.693487,139.786769, 久松警察署 東日本橋交番,35.695671,139.784962
窃盗,車上ねらい,久松,箱崎交番,131024.0,東京都,中央区,日本橋箱崎町,2022/7/6,19,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし,中央区日本橋箱崎町,35.679924,139.786005, 久松警察署 箱崎交番,35.6811783,139.7869701
窃盗,車上ねらい,築地,小田原町交番,131024.0,東京都,中央区,築地２丁目,2022/11/20,10,その他,駐車（輪）場,施錠せず,なし,中央区築地２丁目,35.668618,139.772366, 築地警察署 小田原町交番,35.6652883,139.7721715
窃盗,車上ねらい,築地,数寄屋橋交番,131024.0,東京都,中央区,銀座３丁目,2022/1/21,10,道路上,その他,施錠せず,なし,中央区銀座３丁目,35.671967,139.767249, 築地警察署 数寄屋橋交番,35.6728435,139.7632935
窃盗,車上ねらい,築地,数寄屋橋交番,131024.0,東京都,中央区,銀座３丁目,2022/1/31,16,道路上,その他,施錠せず,なし,中央区銀座３丁目,35.671967,139.767249, 築地警察署 数寄屋橋交番,35.6728435,139.7632935
窃盗,車上ねらい,築地,数寄屋橋交番,131024.0,東京都,中央区,銀座３丁目,2022/5/18,10,道路上,その他,施錠せず,なし,中央区銀座３丁目,35.671967,139.767249, 築地警察署 数寄屋橋交番,35.6728435,139.7632935
窃盗,車上ねらい,築地,銀座一丁目交番,131024.0,東京都,中央区,銀座１丁目,2022/4/1,11,その他,駐車（輪）場,施錠せず,あり,中央区銀座１丁目,35.673632,139.770301, 築地警察署 銀座一丁目交番,35.6749591,139.7686817
窃盗,車上ねらい,築地,銀座八丁目交番,131024.0,東京都,中央区,銀座８丁目,2022/5/18,14,道路上,その他,施錠せず,なし,中央区銀座８丁目,35.666698,139.763463, 築地警察署 銀座八丁目交番,35.66788,139.76289
窃盗,車上ねらい,月島,佃交番,131024.0,東京都,中央区,佃１丁目,2022/7/11,11,道路上,その他,施錠せず,あり,中央区佃１丁目,35.668867,139.78335, 月島警察署 佃交番,35.6647209,139.7848658
窃盗,車上ねらい,月島,勝どき橋交番,131024.0,東京都,中央区,勝どき１丁目,2022/4/30,21,その他,駐車（輪）場,施錠せず,あり,中央区勝どき１丁目,35.660709,139.776476, 月島警察署 勝どき橋交番,35.6604606,139.7768646
窃盗,車上ねらい,月島,勝どき橋交番,131024.0,東京都,中央区,勝どき３丁目,2022/11/19,8,道路上,その他,施錠せず,なし,中央区勝どき３丁目,35.659457,139.773969, 月島警察署 勝どき橋交番,35.6604606,139.7768646
窃盗,車上ねらい,月島,勝どき橋交番,131024.0,東京都,中央区,豊海町,2022/2/7,18,その他,その他,施錠せず,あり,中央区豊海町,35.6533124,139.7693873, 月島警察署 勝どき橋交番,35.6604606,139.7768646
窃盗,車上ねらい,愛宕,東京タワー前交番,131032.0,東京都,港区,西新橋３丁目,2022/1/5,14,その他,駐車（輪）場,施錠せず,あり,港区西新橋３丁目,35.663287,139.751485, 愛宕警察署 東京タワー前交番,35.6586498,139.7468084
窃盗,車上ねらい,愛宕,浜松町交番,131032.0,東京都,港区,浜松町１丁目,2022/10/12,15,道路上,その他,施錠せず,なし,港区浜松町１丁目,35.6585962,139.7571015, 愛宕警察署 浜松町交番,35.653373349999995,139.7544692760219
窃盗,車上ねらい,三田,三田通交番,131032.0,東京都,港区,芝５丁目,2022/8/30,10,道路上,その他,施錠せず,あり,港区芝５丁目,35.647148,139.7469836, 三田警察署 三田通交番,,
窃盗,車上ねらい,三田,三田通交番,131032.0,東京都,港区,三田１丁目,2022/2/27,9,４階建て以上共同住宅,駐車（輪）場,施錠した,あり,港区三田１丁目,35.6537504,139.7416761, 三田警察署 三田通交番,,
窃盗,車上ねらい,三田,三田通交番,131032.0,東京都,港区,三田１丁目,2022/11/26,19,駐車（輪）場,駐車（輪）場,施錠せず,あり,港区三田１丁目,35.6537504,139.7416761, 三田警察署 三田通交番,,
窃盗,車上ねらい,三田,田町駅東口交番,131032.0,東京都,港区,芝浦１丁目,2022/5/23,9,道路上,その他,施錠せず,なし,港区芝浦１丁目,35.6488835,139.7558865, 三田警察署 田町駅東口交番,,
窃盗,車上ねらい,三田,田町駅東口交番,131032.0,東京都,港区,芝浦２丁目,2022/5/18,14,道路上,その他,施錠せず,あり,港区芝浦２丁目,35.6442496,139.7542798, 三田警察署 田町駅東口交番,,
窃盗,車上ねらい,三田,芝四丁目交番,131032.0,東京都,港区,芝２丁目,2022/2/4,13,道路上,その他,施錠せず,あり,港区芝２丁目,35.6513704,139.7518913, 三田警察署 芝四丁目交番,35.64908135,139.75267435004596
窃盗,車上ねらい,高輪,品川駅港南口交番,131032.0,東京都,港区,港南２丁目,2022/9/6,8,道路上,その他,施錠せず,あり,港区港南２丁目,35.6308434,139.7402894, 高輪警察署 品川駅港南口交番,,
窃盗,車上ねらい,高輪,品川駅港南口交番,131032.0,東京都,港区,港南２丁目,2022/10/6,21,その他,駐車（輪）場,施錠した,なし,港区港南２丁目,35.6308434,139.7402894, 高輪警察署 品川駅港南口交番,,
窃盗,車上ねらい,高輪,清正公前交番,131032.0,東京都,港区,白金２丁目,2022/2/2,10,４階建て以上共同住宅,駐車（輪）場,施錠した,あり,港区白金２丁目,35.6414519,139.7314985, 高輪警察署 清正公前交番,35.640741,139.73266
窃盗,車上ねらい,高輪,清正公前交番,131032.0,東京都,港区,高輪１丁目,2022/5/30,9,４階建て以上共同住宅,その他,施錠せず,なし,港区高輪１丁目,35.6405462,139.7355124, 高輪警察署 清正公前交番,35.640741,139.73266
窃盗,車上ねらい,高輪,白金三光町交番,131032.0,東京都,港区,白金２丁目,2022/5/18,0,４階建て以上共同住宅,駐車（輪）場,施錠せず,あり,港区白金２丁目,35.6414519,139.7314985, 高輪警察署 白金三光町交番,35.644574,139.725354
窃盗,車上ねらい,高輪,白金三光町交番,131032.0,東京都,港区,白金２丁目,2022/9/1,20,４階建て以上共同住宅,駐車（輪）場,施錠せず,あり,港区白金２丁目,35.6414519,139.7314985, 高輪警察署 白金三光町交番,35.644574,139.725354
窃盗,車上ねらい,麻布,六本木交番,131032.0,東京都,港区,六本木４丁目,2022/2/24,20,道路上,その他,施錠せず,あり,港区六本木４丁目,35.66309665,139.72745609946662, 麻布警察署 六本木交番,,
窃盗,車上ねらい,麻布,六本木六丁目交番,131032.0,東京都,港区,六本木６丁目,2021/12/24,17,その他,駐車（輪）場,施錠せず,あり,港区六本木６丁目,35.66309665,139.72745609946662, 麻布警察署 六本木六丁目交番,,
窃盗,車上ねらい,麻布,盛岡町交番,131032.0,東京都,港区,元麻布３丁目,2022/8/29,18,４階建て以上共同住宅,駐車（輪）場,施錠せず,あり,港区元麻布３丁目,35.6568255,139.7304082, 麻布警察署 盛岡町交番,35.654128,139.7262722
窃盗,車上ねらい,麻布,盛岡町交番,131032.0,東京都,港区,元麻布３丁目,2022/11/7,3,一戸建住宅,駐車（輪）場,施錠せず,あり,港区元麻布３丁目,35.6568255,139.7304082, 麻布警察署 盛岡町交番,35.654128,139.7262722
窃盗,車上ねらい,麻布,盛岡町交番,131032.0,東京都,港区,元麻布３丁目,2022/12/16,2,４階建て以上共同住宅,駐車（輪）場,施錠せず,あり,港区元麻布３丁目,35.6568255,139.7304082, 麻布警察署 盛岡町交番,35.654128,139.7262722
窃盗,車上ねらい,麻布,西麻布交番,131032.0,東京都,港区,西麻布１丁目,2022/4/27,3,４階建て以上共同住宅,駐車（輪）場,施錠せず,あり,港区西麻布１丁目,35.6611721,139.7258364, 麻布警察署 西麻布交番,35.659572,139.723771
窃盗,車上ねらい,麻布,西麻布交番,131032.0,東京都,港区,西麻布３丁目,2022/4/23,17,４階建て以上共同住宅,駐車（輪）場,施錠せず,あり,港区西麻布３丁目,35.657877,139.7259705, 麻布警察署 西麻布交番,35.659572,139.723771
窃盗,車上ねらい,麻布,西麻布交番,131032.0,東京都,港区,西麻布４丁目,2022/2/11,14,駐車（輪）場,駐車（輪）場,施錠した,あり,港区西麻布４丁目,35.6576798,139.7217339, 麻布警察署 西麻布交番,35.659572,139.723771
窃盗,車上ねらい,麻布,西麻布交番,131032.0,東京都,港区,西麻布４丁目,2022/9/26,15,一戸建住宅,駐車（輪）場,施錠せず,あり,港区西麻布４丁目,35.6576798,139.7217339, 麻布警察署 西麻布交番,35.659572,139.723771
窃盗,車上ねらい,赤坂,表参道交番,131032.0,東京都,港区,赤坂４丁目,2022/12/11,21,４階建て以上共同住宅,駐車（輪）場,施錠せず,あり,港区赤坂４丁目,35.6748892,139.7338629, 赤坂警察署 表参道交番,35.66546,139.712355
窃盗,車上ねらい,赤坂,表参道交番,131032.0,東京都,港区,南青山６丁目,2022/4/3,12,道路上,その他,施錠せず,なし,港区南青山６丁目,35.6607745,139.7165651, 赤坂警察署 表参道交番,35.66546,139.712355
窃盗,車上ねらい,赤坂,赤坂見附交番,131032.0,東京都,港区,赤坂３丁目,2022/6/11,0,道路上,その他,施錠せず,あり,港区赤坂３丁目,35.6756606,139.7375415, 赤坂警察署 赤坂見附交番,35.67768365,139.7366189
窃盗,車上ねらい,東京湾岸,お台場海浜公園駅前交番,131032.0,東京都,港区,台場１丁目,2022/7/20,20,道路上,その他,施錠せず,なし,港区台場１丁目,35.6308488,139.7783151, 東京湾岸警察署 お台場海浜公園駅前交番,,
窃盗,車上ねらい,東京湾岸,お台場海浜公園駅前交番,131032.0,東京都,港区,台場１丁目,2022/7/31,11,道路上,その他,施錠せず,なし,港区台場１丁目,35.6308488,139.7783151, 東京湾岸警察署 お台場海浜公園駅前交番,,
窃盗,車上ねらい,東京湾岸,お台場海浜公園駅前交番,131083.0,東京都,江東区,青海１丁目,2022/5/26,10,その他,駐車（輪）場,施錠せず,なし,江東区青海１丁目,35.625058,139.778725, 東京湾岸警察署 お台場海浜公園駅前交番,,
窃盗,車上ねらい,東京湾岸,お台場海浜公園駅前交番,131083.0,東京都,江東区,青海１丁目,2022/7/11,16,その他,駐車（輪）場,施錠せず,なし,江東区青海１丁目,35.625058,139.778725, 東京湾岸警察署 お台場海浜公園駅前交番,,
窃盗,車上ねらい,東京湾岸,お台場海浜公園駅前交番,131083.0,東京都,江東区,青海１丁目,2022/8/29,17,その他,駐車（輪）場,施錠せず,なし,江東区青海１丁目,35.625058,139.778725, 東京湾岸警察署 お台場海浜公園駅前交番,,
窃盗,車上ねらい,東京湾岸,お台場海浜公園駅前交番,131083.0,東京都,江東区,青海１丁目,2022/10/8,12,その他,駐車（輪）場,施錠せず,なし,江東区青海１丁目,35.625058,139.778725, 東京湾岸警察署 お台場海浜公園駅前交番,,
窃盗,車上ねらい,東京湾岸,お台場海浜公園駅前交番,131083.0,東京都,江東区,海の森２丁目,2022/7/6,16,駐車（輪）場,駐車（輪）場,施錠せず,なし,江東区海の森２丁目,35.6018868,139.7993946, 東京湾岸警察署 お台場海浜公園駅前交番,,
窃盗,車上ねらい,東京湾岸,大田市場前交番,131113.0,東京都,大田区,東海３丁目,2022/1/26,9,その他,その他,施錠せず,あり,大田区東海３丁目,35.5809566,139.7615808, 東京湾岸警察署 大田市場前交番,35.5786287,139.7578468
窃盗,車上ねらい,東京湾岸,大田市場前交番,131113.0,東京都,大田区,東海５丁目,2022/2/5,21,その他,駐車（輪）場,施錠せず,なし,大田区東海５丁目,35.5920811,139.7719663, 東京湾岸警察署 大田市場前交番,35.5786287,139.7578468
窃盗,車上ねらい,東京湾岸,大田市場前交番,131113.0,東京都,大田区,東海５丁目,2022/7/22,13,その他,その他,施錠せず,なし,大田区東海５丁目,35.5920811,139.7719663, 東京湾岸警察署 大田市場前交番,35.5786287,139.7578468
窃盗,車上ねらい,東京湾岸,新木場駅前交番,131083.0,東京都,江東区,新木場３丁目,2022/8/26,13,その他,駐車（輪）場,施錠した,なし,江東区新木場３丁目,35.635637,139.835057, 東京湾岸警察署 新木場駅前交番,35.6457077,139.8259728
窃盗,車上ねらい,東京湾岸,第五台場交番,131091.0,東京都,品川区,八潮３丁目,2022/12/24,3,その他,その他,施錠せず,なし,品川区八潮３丁目,35.5983276,139.7596496, 東京湾岸警察署 第五台場交番,35.632323,139.7552577
窃盗,車上ねらい,東京湾岸,辰巳交番,131083.0,東京都,江東区,辰巳１丁目,2022/12/14,8,駐車（輪）場,駐車（輪）場,施錠せず,なし,江東区辰巳１丁目,35.648179,139.809024, 東京湾岸警察署 辰巳交番,35.649427,139.8116273
窃盗,車上ねらい,東京湾岸,都橋交番,131083.0,東京都,江東区,有明１丁目,2022/12/18,14,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし,江東区有明１丁目,35.640906,139.789578, 東京湾岸警察署 都橋交番,,
窃盗,車上ねらい,東京湾岸,都橋交番,131083.0,東京都,江東区,有明３丁目,2022/1/22,10,その他,駐車（輪）場,施錠せず,なし,江東区有明３丁目,35.629417,139.796671, 東京湾岸警察署 都橋交番,,
窃盗,車上ねらい,東京湾岸,都橋交番,131083.0,東京都,江東区,有明３丁目,2022/10/30,10,駐車（輪）場,駐車（輪）場,施錠せず,なし,江東区有明３丁目,35.629417,139.796671, 東京湾岸警察署 都橋交番,,
窃盗,車上ねらい,東京湾岸,都橋交番,131083.0,東京都,江東区,有明４丁目,2022/5/20,22,駐車（輪）場,駐車（輪）場,施錠せず,なし,江東区有明４丁目,35.620798,139.792118, 東京湾岸警察署 都橋交番,,
窃盗,車上ねらい,東京湾岸,都橋交番,131083.0,東京都,江東区,東雲１丁目,2021/12/28,14,道路上,その他,施錠せず,なし,江東区東雲１丁目,35.648418,139.801826, 東京湾岸警察署 都橋交番,,
窃盗,車上ねらい,東京湾岸,都橋交番,131083.0,東京都,江東区,東雲１丁目,2022/7/25,7,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし,江東区東雲１丁目,35.648418,139.801826, 東京湾岸警察署 都橋交番,,
窃盗,車上ねらい,東京湾岸,都橋交番,131083.0,東京都,江東区,東雲１丁目,2022/9/12,20,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし,江東区東雲１丁目,35.648418,139.801826, 東京湾岸警察署 都橋交番,,
窃盗,車上ねらい,品川,台場交番,131091.0,東京都,品川区,東品川１丁目,2021/12/10,17,道路上,その他,施錠せず,あり,品川区東品川１丁目,35.6206661,139.7456149, 品川警察署 台場交番,35.6208548,139.7421468
窃盗,車上ねらい,品川,青物横丁駅前交番,131091.0,東京都,品川区,南品川３丁目,2022/10/8,1,道路上,その他,施錠せず,あり,品川区南品川３丁目,35.6087868,139.7439037, 品川警察署 青物横丁駅前交番,,
窃盗,車上ねらい,大井,八潮団地交番,131091.0,東京都,品川区,八潮５丁目,2022/2/15,17,道路上,その他,施錠せず,あり,品川区八潮５丁目,35.6012413,139.7525901, 大井警察署 八潮団地交番,,
窃盗,車上ねらい,大井,八潮団地交番,131091.0,東京都,品川区,八潮５丁目,2022/5/8,17,その他,その他,施錠せず,なし,品川区八潮５丁目,35.6012413,139.7525901, 大井警察署 八潮団地交番,,
窃盗,車上ねらい,大井,南大井交番,131091.0,東京都,品川区,南大井２丁目,2022/4/7,22,駐車（輪）場,駐車（輪）場,施錠した,なし,品川区南大井２丁目,35.5908924,139.7369716, 大井警察署 南大井交番,35.5903612,139.733432
窃盗,車上ねらい,大井,南大井交番,131091.0,東京都,品川区,南大井３丁目,2022/4/7,16,駐車（輪）場,駐車（輪）場,施錠した,なし,品川区南大井３丁目,35.5901443,139.7347172, 大井警察署 南大井交番,35.5903612,139.733432
