罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品,name,latitude,longitude,police_office_name,police_office_latitude,police_office_longitude
窃盗,自動車盗,新宿,熊野神社前交番,131041.0,東京都,新宿区,西新宿４丁目,2022/1/13,20,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,新宿区西新宿４丁目,35.6875376,139.6878764, 新宿警察署 熊野神社前交番,35.690951,139.6875688
窃盗,自動車盗,戸塚,上落合交番,131041.0,東京都,新宿区,中井１丁目,2022/8/10,2,道路上,その他,キーあり,なし,乗用自動車,新宿区中井１丁目,35.7150367,139.6845679, 戸塚警察署 上落合交番,35.7133102,139.685734
窃盗,自動車盗,戸塚,高田馬場駅前交番,131041.0,東京都,新宿区,高田馬場３丁目,2022/1/15,2,道路上,その他,キーあり,なし,乗用自動車,新宿区高田馬場３丁目,35.713485,139.6976075, 戸塚警察署 高田馬場駅前交番,35.7129424,139.7042877
窃盗,自動車盗,野方,江古田四丁目交番,131148.0,東京都,中野区,江古田３丁目,2022/8/10,7,その他,駐車（輪）場,キーなし,なし,なし,中野区江古田３丁目,35.7284981,139.6661016, 野方警察署 江古田四丁目交番,35.7239934,139.6656662
窃盗,自動車盗,野方,鷺宮六丁目交番,131148.0,東京都,中野区,上鷺宮１丁目,2022/2/22,19,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車,中野区上鷺宮１丁目,35.7292954,139.6368474, 野方警察署 鷺宮六丁目交番,35.7272115,139.6274434
窃盗,自動車盗,高井戸,高井戸西交番,131156.0,東京都,杉並区,高井戸西１丁目,2022/7/28,0,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車,杉並区高井戸西１丁目,35.6808602,139.6115917, 高井戸警察署 高井戸西交番,35.6816667,139.6148666
窃盗,自動車盗,荻窪,荻窪駅南口交番,131156.0,東京都,杉並区,荻窪３丁目,2022/12/4,22,一戸建住宅,その他,キーなし,あり,乗用自動車,杉並区荻窪３丁目,35.6996275,139.6263492, 荻窪警察署 荻窪駅南口交番,35.704312,139.6208562
窃盗,自動車盗,本富士,本郷交番,131059.0,東京都,文京区,本郷４丁目,2022/10/6,12,道路上,その他,キーあり,なし,乗用自動車,文京区本郷４丁目,35.7094625,139.7555137, 本富士警察署 本郷交番,35.7076352,139.76041159958532
窃盗,自動車盗,池袋,川越通交番,131164.0,東京都,豊島区,池袋４丁目,2022/9/2,14,その他,駐車（輪）場,キーなし,なし,乗用自動車,豊島区池袋４丁目,35.738405,139.7093468, 池袋警察署 川越通交番,35.7390943,139.7106876
窃盗,自動車盗,目白,千川交番,131164.0,東京都,豊島区,千早２丁目,2022/1/14,3,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車,豊島区千早２丁目,35.7335847,139.6910132, 目白警察署 千川交番,35.736918,139.6909845
窃盗,自動車盗,目白,東長崎駅前交番,131164.0,東京都,豊島区,千早３丁目,2022/5/18,18,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車,豊島区千早３丁目,35.7346396,139.6869671, 目白警察署 東長崎駅前交番,35.7299532,139.6829118
窃盗,自動車盗,赤羽,宮堀交番,131172.0,東京都,北区,神谷１丁目,2022/11/29,18,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,北区神谷１丁目,35.7685793,139.7341073, 赤羽警察署 宮堀交番,35.7698269,139.7344397
窃盗,自動車盗,赤羽,志茂四丁目交番,131172.0,東京都,北区,志茂１丁目,2022/1/26,7,その他,駐車（輪）場,キーあり,なし,貨物自動車,北区志茂１丁目,35.776325,139.7296603, 赤羽警察署 志茂四丁目交番,35.7804928,139.7304924
窃盗,自動車盗,赤羽,志茂四丁目交番,131172.0,東京都,北区,志茂２丁目,2022/6/26,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,乗用自動車,北区志茂２丁目,35.779468,139.728773, 赤羽警察署 志茂四丁目交番,35.7804928,139.7304924
窃盗,自動車盗,赤羽,赤羽駅前交番,131172.0,東京都,北区,志茂１丁目,2022/3/14,6,道路上,その他,キーあり,あり,乗用自動車,北区志茂１丁目,35.776325,139.7296603, 赤羽警察署 赤羽駅前交番,35.778420499999996,139.72107649136842
窃盗,自動車盗,板橋,大谷口交番,131199.0,東京都,板橋区,大谷口１丁目,2022/7/14,19,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車,板橋区大谷口１丁目,35.7437948,139.6908557, 板橋警察署 大谷口交番,35.7461162,139.6911159
窃盗,自動車盗,板橋,常盤台交番,131199.0,東京都,板橋区,常盤台１丁目,2022/11/26,3,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車,板橋区常盤台１丁目,35.7602935,139.6923001, 板橋警察署 常盤台交番,35.7585929,139.6900187
窃盗,自動車盗,志村,坂下交番,131199.0,東京都,板橋区,舟渡２丁目,2022/9/12,22,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,板橋区舟渡２丁目,35.7965056,139.6907318, 志村警察署 坂下交番,35.7878838,139.6847005
窃盗,自動車盗,志村,坂下交番,131199.0,東京都,板橋区,舟渡２丁目,2022/9/19,0,４階建て以上共同住宅,駐車（輪）場,キーあり,あり,乗用自動車,板橋区舟渡２丁目,35.7965056,139.6907318, 志村警察署 坂下交番,35.7878838,139.6847005
窃盗,自動車盗,志村,西台交番,131199.0,東京都,板橋区,西台３丁目,2022/3/11,1,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車,板橋区西台３丁目,35.7754881,139.6675332, 志村警察署 西台交番,35.773857,139.6704014
窃盗,自動車盗,練馬,早宮交番,131202.0,東京都,練馬区,早宮１丁目,2022/8/8,17,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車,練馬区早宮１丁目,35.751559,139.658859, 練馬警察署 早宮交番,35.7546102,139.6587257
窃盗,自動車盗,練馬,早宮交番,131202.0,東京都,練馬区,平和台３丁目,2022/5/25,22,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車,練馬区平和台３丁目,35.755631,139.660772, 練馬警察署 早宮交番,35.7546102,139.6587257
窃盗,自動車盗,練馬,桜台交番,131202.0,東京都,練馬区,桜台３丁目,2022/8/31,15,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,練馬区桜台３丁目,35.746992,139.665977, 練馬警察署 桜台交番,35.7387549,139.6613344
窃盗,自動車盗,練馬,桜台交番,131202.0,東京都,練馬区,桜台５丁目,2022/12/10,13,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,練馬区桜台５丁目,35.7432704,139.6584217, 練馬警察署 桜台交番,35.7387549,139.6613344
窃盗,自動車盗,石神井,北大泉交番,131202.0,東京都,練馬区,大泉町５丁目,2022/8/24,23,一戸建住宅,駐車（輪）場,キーなし,あり,なし,練馬区大泉町５丁目,35.7598446,139.5952534, 石神井警察署 北大泉交番,35.7629012,139.5997741
窃盗,自動車盗,高島平,北野交番,131199.0,東京都,板橋区,徳丸１丁目,2022/4/20,19,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,板橋区徳丸１丁目,35.7717851,139.6659209, 高島平警察署 北野交番,35.7690973,139.6617344
窃盗,自動車盗,高島平,北野交番,131199.0,東京都,板橋区,徳丸３丁目,2022/10/3,8,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,板橋区徳丸３丁目,35.7725274,139.6578236, 高島平警察署 北野交番,35.7690973,139.6617344
窃盗,自動車盗,高島平,赤塚交番,131199.0,東京都,板橋区,赤塚新町３丁目,2022/7/17,20,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,板橋区赤塚新町３丁目,35.7709715,139.6371411, 高島平警察署 赤塚交番,35.775029,139.6347336
窃盗,自動車盗,高島平,高島平駅前交番,131199.0,東京都,板橋区,高島平７丁目,2022/5/8,22,道路上,その他,キーなし,なし,乗用自動車,板橋区高島平７丁目,35.791476,139.6567972, 高島平警察署 高島平駅前交番,35.7884192,139.660177
窃盗,自動車盗,光が丘,三原台交番,131202.0,東京都,練馬区,土支田２丁目,2022/12/18,0,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,あり,乗用自動車,練馬区土支田２丁目,35.7615625,139.6142267, 光が丘警察署 三原台交番,35.7546072,139.6078273
窃盗,自動車盗,光が丘,光が丘三丁目交番,131202.0,東京都,練馬区,高松５丁目,2022/6/9,19,その他,駐車（輪）場,キーなし,なし,乗用自動車,練馬区高松５丁目,35.757756,139.620976, 光が丘警察署 光が丘三丁目交番,35.7539245,139.6268331
窃盗,自動車盗,光が丘,土支田交番,131202.0,東京都,練馬区,高松６丁目,2022/5/5,18,駐車（輪）場,駐車（輪）場,キーあり,なし,乗用自動車,練馬区高松６丁目,35.7589636,139.6176553, 光が丘警察署 土支田交番,35.7666137,139.6199133
窃盗,自動車盗,光が丘,田柄交番,131202.0,東京都,練馬区,北町３丁目,2022/5/17,0,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車,練馬区北町３丁目,35.768066,139.653385, 光が丘警察署 田柄交番,35.7663116,139.6414547
窃盗,自動車盗,光が丘,田柄交番,131202.0,東京都,練馬区,田柄４丁目,2022/9/10,6,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,練馬区田柄４丁目,35.7646479,139.6373178, 光が丘警察署 田柄交番,35.7663116,139.6414547
窃盗,自動車盗,光が丘,田柄交番,131202.0,東京都,練馬区,田柄４丁目,2022/10/15,18,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車,練馬区田柄４丁目,35.7646479,139.6373178, 光が丘警察署 田柄交番,35.7663116,139.6414547
窃盗,自動車盗,光が丘,谷原交番,131202.0,東京都,練馬区,谷原１丁目,2022/10/8,21,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,練馬区谷原１丁目,35.7502163,139.6214471, 光が丘警察署 谷原交番,35.7487702,139.6205452
窃盗,自動車盗,光が丘,谷原交番,131202.0,東京都,練馬区,谷原３丁目,2022/3/11,16,その他,その他,キーなし,あり,乗用自動車,練馬区谷原３丁目,35.7535524,139.6180828, 光が丘警察署 谷原交番,35.7487702,139.6205452
窃盗,自動車盗,光が丘,高松駐在所,131202.0,東京都,練馬区,高松２丁目,2022/1/7,16,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車,練馬区高松２丁目,35.7480112,139.6310276, 光が丘警察署 高松駐在所,35.7510153,139.6308906
窃盗,自動車盗,光が丘,高松駐在所,131202.0,東京都,練馬区,高松２丁目,2022/6/9,16,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,練馬区高松２丁目,35.7480112,139.6310276, 光が丘警察署 高松駐在所,35.7510153,139.6308906
窃盗,自動車盗,光が丘,氷川台駐在所,131202.0,東京都,練馬区,氷川台３丁目,2022/7/28,15,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車,練馬区氷川台３丁目,35.7514847,139.6693884, 光が丘警察署 氷川台駐在所,,
窃盗,自動車盗,上野,台東交番,131067.0,東京都,台東区,台東２丁目,2022/10/18,11,道路上,その他,キーあり,なし,貨物自動車,台東区台東２丁目,35.7032552,139.7787644, 上野警察署 台東交番,35.70244445,139.7762066022292
窃盗,自動車盗,蔵前,小島二丁目交番,131067.0,東京都,台東区,元浅草３丁目,2021/12/29,19,道路上,その他,キーあり,なし,貨物自動車,台東区元浅草３丁目,35.7076722,139.7867239, 蔵前警察署 小島二丁目交番,35.70658655,139.78487540368633
窃盗,自動車盗,蔵前,須賀橋交番,131067.0,東京都,台東区,柳橋１丁目,2022/10/6,13,道路上,その他,キーあり,なし,乗用自動車,台東区柳橋１丁目,35.6964887,139.7883157, 蔵前警察署 須賀橋交番,35.700147,139.7883814
窃盗,自動車盗,千住,北千住駅西口交番,131211.0,東京都,足立区,千住１丁目,2022/10/14,21,その他,駐車（輪）場,キーあり,なし,乗用自動車,足立区千住１丁目,35.7478532,139.8013258, 千住警察署 北千住駅西口交番,35.7502869,139.8040745
窃盗,自動車盗,千住,曙町交番,131211.0,東京都,足立区,柳原１丁目,2022/4/12,21,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車,足立区柳原１丁目,35.7457155,139.8145383, 千住警察署 曙町交番,35.743177,139.812011
窃盗,自動車盗,西新井,大師前交番,131211.0,東京都,足立区,西新井６丁目,2022/7/22,1,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,足立区西新井６丁目,35.780529,139.776124, 西新井警察署 大師前交番,35.7782571,139.7810109
窃盗,自動車盗,西新井,島根交番,131211.0,東京都,足立区,栗原２丁目,2022/3/7,19,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,足立区栗原２丁目,35.7837809,139.788655, 西新井警察署 島根交番,35.7820463,139.7978116
窃盗,自動車盗,西新井,扇交番,131211.0,東京都,足立区,扇１丁目,2022/11/20,1,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車,足立区扇１丁目,35.7631595,139.7731733, 西新井警察署 扇交番,35.7680423,139.7700087
窃盗,自動車盗,西新井,扇交番,131211.0,東京都,足立区,扇２丁目,2022/2/22,1,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車,足立区扇２丁目,35.7658583,139.7690749, 西新井警察署 扇交番,35.7680423,139.7700087
窃盗,自動車盗,西新井,新田駐在所,131211.0,東京都,足立区,新田３丁目,2022/2/5,16,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車,足立区新田３丁目,35.7689922,139.7483253, 西新井警察署 新田駐在所,,
窃盗,自動車盗,西新井,皿沼交番,131211.0,東京都,足立区,加賀２丁目,2022/1/12,22,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車,足立区加賀２丁目,35.7925384,139.760963, 西新井警察署 皿沼交番,35.7890614,139.7622666
窃盗,自動車盗,西新井,皿沼交番,131211.0,東京都,足立区,加賀２丁目,2022/9/27,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車,足立区加賀２丁目,35.7925384,139.760963, 西新井警察署 皿沼交番,35.7890614,139.7622666
窃盗,自動車盗,西新井,皿沼交番,131211.0,東京都,足立区,鹿浜６丁目,2022/4/21,16,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,足立区鹿浜６丁目,35.786345,139.759033, 西新井警察署 皿沼交番,35.7890614,139.7622666
窃盗,自動車盗,西新井,皿沼交番,131211.0,東京都,足立区,鹿浜６丁目,2022/7/28,18,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,足立区鹿浜６丁目,35.786345,139.759033, 西新井警察署 皿沼交番,35.7890614,139.7622666
窃盗,自動車盗,西新井,皿沼交番,131211.0,東京都,足立区,谷在家２丁目,2022/11/4,18,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車,足立区谷在家２丁目,35.7845839,139.767706, 西新井警察署 皿沼交番,35.7890614,139.7622666
窃盗,自動車盗,西新井,西新井五丁目交番,131211.0,東京都,足立区,栗原４丁目,2022/9/1,20,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車,足立区栗原４丁目,35.785156,139.7853076, 西新井警察署 西新井五丁目交番,35.7860023,139.7791691
窃盗,自動車盗,西新井,西新井五丁目交番,131211.0,東京都,足立区,西新井５丁目,2022/9/8,0,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車,足立区西新井５丁目,35.7843703,139.7756228, 西新井警察署 西新井五丁目交番,35.7860023,139.7791691
